dataset	started_utc	finished_utc	exit
cs/cshyphen_cstenten	2026-08-28T15:23:50Z	2026-08-28T15:57:09Z	0
cs/cshyphen_ujc	2026-08-28T15:57:09Z	2026-08-28T16:08:08Z	0
cs/wiktionary	2026-08-28T16:08:08Z	2026-08-28T16:15:48Z	0
cssk/cshyphen	2026-08-28T15:23:50Z	2026-08-28T16:22:04Z	0
de/wortliste	2026-08-28T16:22:04Z	2026-08-28T17:12:31Z	0
de/wiktionary	2026-08-28T16:15:48Z	2026-08-28T17:15:05Z	0
el/wiktionary	2026-08-28T17:12:31Z	2026-08-28T17:16:43Z	0
is/hyphenation-is	2026-08-28T17:16:43Z	2026-08-28T17:32:58Z	0
it/wiktionary	2026-08-28T17:32:58Z	2026-08-28T17:40:00Z	0
es/wiktionary	2026-08-28T17:15:05Z	2026-08-28T17:50:29Z	0
pl/wiktionary	2026-08-28T17:50:29Z	2026-08-28T18:00:07Z	0
pt/wiktionary	2026-08-28T18:00:07Z	2026-08-28T18:07:16Z	0
nl/wiktionary	2026-08-28T17:40:00Z	2026-08-28T18:21:24Z	0
ru/wiktionary	2026-08-28T18:07:16Z	2026-08-28T18:24:14Z	0
tr/wiktionary	2026-08-28T18:24:14Z	2026-08-28T18:30:37Z	0
uk/wiktionary	2026-08-28T18:30:37Z	2026-08-28T18:37:28Z	0
th/orchid	2026-08-28T18:21:24Z	2026-08-28T18:39:24Z	0
