observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,166162,10908,1805,0.9393630792466686,0.939359030600257,1331774,708,13898,3489,4911
2,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,165057,5289,2910,0.9692221454550195,0.9692185222009003,1323042,662,22630,3179,4395
3,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,167657,6250,310,0.9647202744490132,0.9647138028802225,1344412,2814,1260,5674,7850
4,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,165263,5714,2704,0.9669207474045851,0.9669176591884463,1324680,4058,20992,2665,3746
5,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,167423,19265,544,0.898608678980888,0.8986063376744721,1341864,33016,3808,1664,2840
6,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,165860,15643,2107,0.9151791281332442,0.9151749484066495,1329223,5471,16449,3348,5070
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,166106,5831,1861,0.9665327573525989,0.9665292808423326,1331587,4658,14085,2945,4217
8,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,164225,5012,3742,0.9705303891695368,0.9705258541249613,1316380,269,29292,3945,5501
9,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,167311,8386,656,0.9531087646061578,0.9531053210720382,1340927,21947,4745,3107,4177
10,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,167174,11384,793,0.9373567743362936,0.9373501675653014,1340835,412,4837,6620,8014
11,12,29,6,11,15,32,9,14,1,1,1,1,12,29,6,11,3,2,42,35,167257,6055,710,0.9656586324536632,0.9656526340925777,1340989,1142,4683,5509,7276
12,4,1,28,1/5,7,4,31,0,1,1,1,5,4,1,28,1,2,42,15,42,165772,12693,2195,0.9299709001215336,0.9299672224567724,1328630,2182,17042,3308,4461
13,1/5,1/5,10,24,0,0,13,27,5,5,1,1,1,1,10,24,41,1,8,41,167020,11858,947,0.9348494663992086,0.9348451671340821,1338929,6893,6743,4157,5215
14,28,13,1/2,19,31,16,3,22,1,1,2,1,28,13,1,19,36,22,25,4,167084,6155,883,0.9650584207937501,0.9650535279579829,1339266,3160,6406,4479,5935
15,16,30,26,25,19,33,29,28,1,1,1,1,16,30,26,25,39,40,2,26,167690,6904,277,0.961186499299043,0.9611800302034633,1344614,8285,1058,5343,7847
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,163378,11559,4589,0.9346695835640764,0.9346673032635318,1309422,3277,36250,2183,2766
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,167804,13759,163,0.9256053855490297,0.9256009057394999,1344969,17049,703,3446,5434
18,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,164926,5324,3041,0.9689882173392289,0.9689849889744666,1321852,851,23820,2852,3916
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,167815,7330,152,0.9589349664779901,0.958926643298562,1345479,5742,193,7996,10096
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,167508,15301,459,0.9177909022609781,0.9177779360400941,1344095,413,1577,10636,15728
21,16,1/3,7,8,19,2,10,11,1,3,1,1,16,1,7,8,42,42,12,42,166371,5872,1596,0.9663884485297995,0.966384958004671,1333664,2966,12008,3086,4234
22,27,9,26,22,30,12,29,25,1,1,1,1,27,9,26,22,24,1,38,38,164441,5008,3526,0.9706151646423408,0.9706107779904254,1318094,357,27578,3886,5321
23,17,30,17,1/3,20,33,20,2,1,1,1,3,17,30,17,1,6,36,38,34,166398,6014,1569,0.9656163335037496,0.9656120103309167,1333868,2536,11804,3951,5244
24,30,1/5,29,16,33,0,32,19,1,5,1,1,30,1,29,16,40,11,2,4,167511,5523,456,0.9686487214156076,0.9686395037582002,1343913,484,1759,8449,11181
25,14,15,1/5,28,17,18,0,31,1,1,5,1,14,15,1,28,1,14,17,9,167769,6952,198,0.960953781381683,0.9609464046176652,1345118,6279,554,6775,8948
26,21,1/5,29,17,24,0,32,20,1,5,1,1,21,1,29,17,29,15,38,22,163452,5257,4515,0.9689250653371759,0.96892217332911,1309604,485,36068,2691,3508
27,29,24,4,24,32,27,7,27,1,1,1,1,29,24,4,24,34,25,3,42,167598,6194,369,0.9650065783602176,0.9650005321837194,1343727,7314,1945,5216,7334
28,6,1,1/5,1/5,9,4,0,0,1,1,5,5,6,1,1,1,42,32,30,21,156226,11537,11741,0.9312077196551315,0.9312051771942206,1251789,1046,93883,2810,3084
29,30,29,15,6,33,32,18,9,1,1,1,1,30,29,15,6,7,39,11,4,166773,5406,1194,0.9690765715353563,0.969070751245463,1337411,1284,8261,5215,7060
30,9,1/2,1/5,11,12,3,0,14,1,2,5,1,9,1,1,11,2,8,1,29,167812,11069,155,0.9392670166445467,0.9392607231469482,1345306,16434,366,6400,7634
31,29,5,30,29,32,8,33,32,1,1,1,1,29,5,30,29,7,17,37,39,166447,5808,1520,0.9667638656010795,0.9667588260214595,1334713,4477,10959,4528,6113
32,17,30,21,1/5,20,33,24,0,1,1,1,5,17,30,21,1,3,2,15,36,167268,5880,699,0.9666190834975398,0.9666126317144371,1341173,607,4499,5933,7826
33,25,1/5,10,24,28,0,13,27,1,5,1,1,25,1,10,24,41,32,31,2,163476,5222,4491,0.9691292645428378,0.9691261400529375,1310048,376,35624,2835,3790
34,28,27,30,18,31,30,33,21,1,1,1,1,28,27,30,18,23,37,1,21,167750,6218,217,0.9649234923523413,0.9649135953863117,1345546,5511,126,8508,12005
35,19,17,3,27,22,20,6,30,1,1,1,1,19,17,3,27,11,5,2,2,167686,5887,281,0.9667078824920065,0.9667005139720254,1344684,894,988,6507,8938
36,30,30,2,6,33,33,5,9,1,1,1,1,30,30,2,6,4,2,18,22,167130,5488,837,0.9687292819857161,0.9687223281407797,1340156,1202,5516,6446,8435
37,19,4,13,9,22,7,16,12,1,1,1,1,19,4,13,9,40,20,42,36,163741,6001,4226,0.96484813486814,0.9648458875437421,1312177,5311,33495,1911,2726
38,17,25,24,1/3,20,28,27,2,1,1,1,3,17,25,24,1,10,39,39,12,165821,5698,2146,0.9671797786337031,0.967175909707291,1329273,825,16399,3606,4693
39,24,1/4,27,29,27,1,30,32,1,4,1,1,24,1,27,29,37,42,6,3,166917,5426,1050,0.9690083589793487,0.9690025576507397,1338434,580,7238,5143,7037
40,15,30,1/5,30,18,33,0,33,1,1,5,1,15,30,1,30,32,7,39,3,167507,6913,460,0.9610769211526428,0.9610703687922926,1342899,3411,2773,6044,7948
41,20,1/5,12,30,23,0,15,33,1,5,1,1,20,1,12,30,15,6,4,20,167245,5625,722,0.9680101988783595,0.9680036992798441,1341203,515,4469,6100,7884
42,19,30,30,1,22,33,33,4,1,1,1,1,19,30,30,1,5,38,42,41,166880,6634,1087,0.9623820940645453,0.9623773570410713,1337733,7831,7939,4194,5746
43,29,12,26,29,32,15,29,32,1,1,1,1,29,12,26,29,42,27,13,41,165859,5716,2108,0.9670918569045271,0.9670878239217852,1329890,5835,15782,3371,4892
44,16,1/3,24,13,19,2,27,16,1,3,1,1,16,1,24,13,33,42,31,1,164192,5431,3775,0.9681709781267609,0.9681676656728244,1315814,63,29858,2994,4018
45,30,28,1/5,13,33,31,0,16,1,1,5,1,30,28,1,13,39,1,37,6,167443,7336,524,0.9587743574368615,0.9587679872697219,1342342,6046,3330,6399,7727
46,25,1/5,20,13,28,0,23,16,1,5,1,1,25,1,20,13,4,1,26,18,165992,5521,1975,0.9682103716893776,0.9682041070459074,1330571,64,15101,6029,7599
47,13,21,16,5,16,24,19,8,1,1,1,1,13,21,16,5,8,41,3,42,167620,7163,347,0.9597663121909904,0.959761037656325,1343835,10389,1837,4349,6398
48,30,30,24,26,33,33,27,29,1,1,1,1,30,30,24,26,38,35,40,13,162850,5397,5117,0.967954379837543,0.9679516296269078,1304997,3786,40675,2306,3336
49,20,1/3,5,1/2,23,2,8,3,1,3,1,2,20,1,5,1,30,38,20,2,165291,5377,2676,0.9688010326000249,0.9687971257510442,1324909,35,20763,3623,4739
50,26,11,1/2,27,29,14,3,30,1,1,2,1,26,11,1,27,42,4,9,37,167639,8334,328,0.9535080706259974,0.9535038043370175,1343513,18933,2159,4052,5175
