observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,26792,2754,184,0.9083696676679799,0.9083653755137501,214174,21568,1151,435,895
2,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,25979,593,997,0.9773860725776597,0.9773438799822253,210905,2482,4420,5546,8798
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,24825,387,2151,0.983274237858494,0.983258431221241,199320,1679,16005,2000,3296
4,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,24729,510,2247,0.9784464032628333,0.9784383704602244,198174,3564,17151,988,1675
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,23620,204,3356,0.9888207161707772,0.9888109808935855,190232,960,25093,1203,2030
6,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,25231,619,1745,0.975204579994527,0.9751945425880433,202188,4337,13137,1267,2093
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,24765,441,2211,0.9811262449784878,0.9811168741747279,199197,3112,16128,1155,1954
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,26634,2736,342,0.9083245004112935,0.9083150288977696,213005,21840,2320,1431,1975
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,25489,251,1487,0.9892985446765966,0.9892649939380583,205894,113,9431,5415,6996
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,22582,121,4394,0.9909401512870988,0.9909241576174268,182689,127,32636,1923,3335
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,25113,379,1863,0.9839869475677151,0.9839606575235946,203009,1826,12316,3370,5482
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,26120,1032,856,0.9621164794493099,0.9621065715268085,209017,7484,6308,1119,2066
13,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,26748,2145,228,0.9269906489974237,0.9269795853104872,214025,16884,1300,1419,2307
14,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,25723,672,1253,0.9741117946939063,0.9741018484057805,206543,4363,8782,1541,2074
15,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,26282,705,694,0.9738842499920332,0.9738574516033894,210976,4065,4349,4026,5588
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,22959,354,4017,0.9817302980468018,0.9817244472890807,185193,2422,30132,883,1220
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,26382,1346,594,0.9519733727469026,0.9519481569402654,212555,9443,2770,3088,5258
18,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,23626,225,3350,0.9879775022476843,0.9879688939607094,189962,1143,25363,1074,1795
19,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,26505,753,471,0.9725763199957729,0.9724866595315488,214797,432,528,10568,18696
20,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,26768,1582,208,0.945113641017819,0.9450818838722215,215098,10083,227,4827,6622
21,30,1,4,1/4,33,4,7,1,1,1,1,4,30,1,4,1,11,41,41,41,24335,295,2641,0.9861441379232091,0.9861302159972547,195987,1743,19338,1813,2903
22,7,30,28,19,10,33,31,22,1,1,1,1,7,30,28,19,42,2,9,36,25231,412,1745,0.9829113435861635,0.9828924581075523,203182,1688,12143,2410,3938
23,22,1/5,22,30,25,0,25,33,1,5,1,1,22,1,22,30,38,41,13,7,24008,247,2968,0.987600691419211,0.9875889803123628,193487,1368,21838,1415,2442
24,13,19,2,1/5,16,22,5,0,1,1,1,5,13,19,2,1,40,1,42,3,23837,190,3139,0.9896628661154746,0.9896370748244714,192345,11,22980,3299,5378
25,1/5,2,1/5,15,0,5,0,18,5,1,5,1,1,2,1,15,2,22,8,2,26639,1056,337,0.9623700625202759,0.9623283207209281,214709,4716,616,5420,8704
26,29,26,30,25,32,29,33,28,1,1,1,1,29,26,30,25,40,37,2,27,25859,529,1117,0.9795164804528526,0.9794628453099407,210472,1766,4853,7431,11184
27,11,1/4,8,3,14,1,11,6,1,4,1,1,11,1,8,3,11,2,41,15,24119,158,2857,0.9912876505590814,0.991270467555053,194550,113,20775,2422,3583
28,1/2,1/5,17,29,3,0,20,32,2,5,1,1,1,1,17,29,36,2,4,37,25513,378,1463,0.9845751311133152,0.9845456998836969,206229,1478,9096,4324,6137
29,1/3,23,1/5,30,2,26,0,33,3,1,5,1,1,23,1,30,32,41,41,39,26825,3356,151,0.8906959215589918,0.8906925453840445,214308,26585,1017,297,704
30,3,26,30,1/2,6,29,33,3,1,1,1,2,3,26,30,1,35,20,31,1,24616,223,2360,0.9893198787544603,0.9892956700454635,198202,47,17123,2957,5048
31,24,14,8,15,27,17,11,18,1,1,1,1,24,14,8,15,42,42,40,37,22940,361,4036,0.9814113670880662,0.9814052669537865,184297,2581,31028,693,1272
