observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,11055,559,559,0.9518684346478389,0.9518224207862326,90699,1394,2292,3111,4966
2,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,11528,3106,86,0.7910193775045287,0.7910137902394162,92438,11764,553,243,603
3,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,10340,451,1274,0.956746543591186,0.9567365458149731,82809,1959,10182,600,1079
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,10281,568,1333,0.9463103927542501,0.9462942517661473,82545,922,10446,1033,1742
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,9656,247,1958,0.9717003347012544,0.971688530098015,77776,622,15215,707,1274
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,11410,2493,204,0.8233974779934214,0.8233844410414923,91542,10889,1449,990,1407
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,10399,414,1215,0.9602900354787414,0.960277962167893,83328,1550,9663,752,1303
8,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,10584,1869,1030,0.8510624611015244,0.851050239538202,84901,2768,8090,733,1319
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,10759,814,855,0.9295980065354394,0.9295592014503796,87672,66,5319,3268,4188
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,8889,172,2725,0.9755203543435843,0.9755023046048793,71958,58,21033,1051,1948
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,10475,304,1139,0.9702937280583936,0.9702613997532901,85392,597,7599,2174,3489
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,11281,2100,333,0.8452935261350882,0.8452820365683561,90503,5012,2488,639,1240
13,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,11227,861,387,0.9295012965164606,0.929467986038717,90711,2598,2280,2549,3595
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,11492,2651,122,0.8154738504813226,0.8154609061871897,92418,10330,573,835,1397
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,10948,1124,666,0.9075806360691181,0.9075681365324071,87979,2458,5012,986,1349
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,9279,1006,2335,0.8998620967882711,0.8998543320649472,74388,1466,18603,554,838
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,11207,1145,407,0.908387937658666,0.9083549607489888,91303,3855,1688,2161,3559
18,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,11487,2088,127,0.8486396794274139,0.848604460199068,92917,5048,74,2966,3801
19,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,9723,231,1891,0.9735461390579941,0.9735354000194114,78155,744,14836,647,1159
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,11320,2017,294,0.8509653043704435,0.8508724056639463,92825,134,166,5990,10026
21,28,15,21,1/4,31,18,24,1,1,1,1,4,28,15,21,1,1,42,40,42,10947,564,667,0.9508332276562443,0.950755459967871,90249,690,2742,6428,8393
22,30,22,14,30,33,25,17,33,1,1,1,1,30,22,14,30,5,14,24,19,10408,306,1206,0.9698099142750652,0.9697797912255118,84670,625,8321,2127,3251
23,18,17,30,19,21,20,33,22,1,1,1,1,18,17,30,19,37,3,35,35,8940,218,2674,0.9709876704115946,0.97097845096087,72004,664,20987,493,995
24,13,5,1/2,13,16,8,3,16,1,1,2,1,13,5,1,13,4,41,1,10,11482,1153,132,0.9102165906435253,0.910176469817759,92958,5118,33,3029,4330
25,28,1/2,30,1/5,31,3,33,0,1,2,1,5,28,1,30,1,21,8,12,1,9592,214,2022,0.974582815154397,0.9745603178414731,78090,1,14901,1469,2428
26,21,1/5,29,17,24,0,32,20,1,5,1,1,21,1,29,17,29,15,38,22,8917,193,2697,0.9734631138592676,0.9734536071693748,71977,513,21014,546,1026
27,27,16,25,1/2,30,19,28,3,1,1,1,2,27,16,25,1,7,37,6,34,10435,318,1179,0.9688752875985821,0.9688481481300673,84720,766,8271,1779,2929
28,30,29,27,29,33,32,30,32,1,1,1,1,30,29,27,29,17,42,31,5,9344,228,2270,0.9720332388763362,0.9720191548913097,75460,516,17531,865,1520
29,10,1,1/2,5,13,4,3,8,1,1,2,1,10,1,1,5,35,2,8,42,11408,1919,206,0.8582128289577619,0.8581984114046689,91769,7463,1222,1143,1556
30,19,24,1/2,28,22,27,3,31,1,1,2,1,19,24,1,28,1,5,12,1,11176,618,438,0.9478898086578913,0.9478025064822863,92102,74,889,7021,9422
31,22,2,28,8,25,5,31,11,1,1,1,1,22,2,28,8,36,41,41,41,8633,227,2981,0.9683592295301893,0.968351279491273,69635,874,23356,413,858
32,22,20,22,27,25,23,25,30,1,1,1,1,22,20,22,27,17,3,41,36,9611,250,2003,0.9711945966374497,0.9711809296125062,77512,599,15479,838,1475
33,30,1/5,29,29,33,0,32,32,1,5,1,1,30,1,29,29,42,35,1,17,11149,583,465,0.9504980545012465,0.9503919983876851,92700,526,291,8036,11446
34,30,1/4,13,4,33,1,16,7,1,4,1,1,30,1,13,4,22,5,27,13,9200,213,2414,0.9728223055465675,0.9728090276843682,74263,356,18728,808,1433
35,20,27,21,22,23,30,24,25,1,1,1,1,20,27,21,22,10,17,6,2,10490,371,1124,0.9645036897552975,0.9644776436487782,85188,512,7803,1695,2811
36,11,24,25,1,14,27,28,4,1,1,1,1,11,24,25,1,36,2,26,42,9717,315,1897,0.9655552066647852,0.965541780550112,78078,666,14913,778,1449
37,30,1,30,22,33,4,33,25,1,1,1,1,30,1,30,22,41,10,39,10,8005,176,3609,0.970343020197196,0.9703351720818556,64635,524,28356,397,847
38,16,13,20,10,19,16,23,13,1,1,1,1,16,13,20,10,3,39,1,38,11222,706,392,0.9413071268239819,0.9412249393587285,92738,1578,253,5757,8870
39,20,4,1/5,1/3,23,7,0,2,1,1,5,3,20,4,1,1,12,9,41,29,9802,895,1812,0.9147633206225841,0.9147470313820074,78608,1919,14383,1357,1758
40,13,29,6,29,16,32,9,32,1,1,1,1,13,29,6,29,4,1,20,10,10747,403,867,0.9630549641195489,0.9630172709280438,87587,156,5404,2705,4068
41,25,30,29,30,28,33,32,33,1,1,1,1,25,30,29,30,40,5,30,38,8718,199,2896,0.9718045154688362,0.9717954350048059,70281,598,22710,483,980
42,14,1/4,3,21,17,1,6,24,1,4,1,1,14,1,3,21,2,11,41,8,10832,458,782,0.9588827670212314,0.9588433967236146,88514,762,4477,3026,4249
43,11,6,12,1/5,14,9,15,0,1,1,1,5,11,6,12,1,42,39,41,28,9174,296,2440,0.9643767187224058,0.9643696118694353,73722,874,19269,388,767
44,22,1/5,17,25,25,0,20,28,1,5,1,1,22,1,17,25,11,31,9,41,10183,290,1431,0.970195754119259,0.9701762496531532,82487,702,10504,1229,2105
45,13,21,27,1,16,24,30,4,1,1,1,1,13,21,27,1,23,1,25,3,9786,287,1828,0.9685445702714419,0.9685212112410131,78861,117,14130,1441,2521
46,10,11,4,1/5,13,14,7,0,1,1,1,5,10,11,4,1,42,40,34,42,9875,383,1739,0.9601249183286146,0.9601173111235444,79271,1421,13720,437,821
