observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,275816,8935,779,0.9691769024035738,0.9691714505046489,2206242,3143,2219,9162,12450
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,273684,13615,2911,0.9533207108196418,0.9533176376126815,2187202,909,21259,5058,7018
3,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,275592,38260,1003,0.8801851227405239,0.8801831714424027,2202184,54834,6277,2731,4456
4,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,271344,4924,5251,0.9821534767554041,0.982150741172064,2168934,595,39527,4606,6247
5,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,272073,5572,4522,0.9800053309512144,0.9800029509455392,2174640,5315,33821,3930,5435
6,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,274990,18530,1605,0.9379514055286572,0.9379462063000681,2199496,691,8965,9715,11873
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,272056,30726,4539,0.9000779664383697,0.9000746322409067,2173771,7485,34690,5165,7614
8,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,269778,4800,6817,0.9823743017309041,0.9823708917761308,2156311,60,52150,5684,7787
9,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,273287,5745,3308,0.9795820724153843,0.9795793950732135,2184152,6093,24309,4376,6114
10,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,275487,12646,1108,0.9568768898776195,0.9568742891685661,2201180,35204,7281,4566,5939
11,12,29,6,11,15,32,9,14,1,1,1,1,12,29,6,11,3,2,42,35,275001,9865,1594,0.9659305927652132,0.965925883550672,2199103,1153,9358,8232,10754
12,4,1,28,1/5,7,4,31,0,1,1,1,5,4,1,28,1,2,42,15,42,274010,21881,2585,0.9272598630114921,0.9272572347145165,2189767,2350,18694,4533,6002
13,1/5,1/5,10,24,0,0,13,27,5,5,1,1,1,1,10,24,41,1,8,41,274667,19534,1928,0.9347219564015354,0.9347186300863359,2196153,10354,12308,6181,7596
14,16,30,26,25,19,33,29,28,1,1,1,1,16,30,26,25,39,40,2,26,275864,9749,731,0.9664767140856771,0.9664710498035411,2206365,12368,2096,8867,12935
15,28,13,1/2,19,31,16,3,22,1,1,2,1,28,13,1,19,36,22,25,4,275120,6363,1475,0.9777342976483059,0.9777305005868138,2198836,4272,9625,6705,8671
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,268381,18657,8214,0.9356824763341688,0.9356806988837483,2144443,4551,64018,3300,4059
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,271278,5424,5317,0.9804052665585012,0.9804028217431039,2168369,850,40092,4118,5583
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,276201,24492,394,0.9200227946314032,0.9200196172034033,2207412,27843,1049,4663,7256
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,276180,9601,415,0.9670260164942748,0.9670192355581422,2207866,9146,595,12308,15485
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,275709,33598,886,0.8932659471439686,0.893254882635524,2205676,249,2785,17978,25267
21,28,15,21,1/4,31,18,24,1,1,1,1,4,28,15,21,1,1,42,40,42,274035,6050,2560,0.9786433022207366,0.9786358758148035,2191789,2326,16672,13557,16959
22,30,19,29,7,33,22,32,10,1,1,1,1,30,19,29,7,41,34,4,15,275070,5555,1525,0.9804865112260306,0.9804808346825958,2200608,5342,7853,9172,12963
23,27,29,1/3,1/3,30,32,2,2,1,1,3,3,27,29,1,1,2,4,12,7,271989,5881,4606,0.9789252621520312,0.9789186406127828,2175396,756,33065,12283,15121
24,16,1,1/3,28,19,4,2,31,1,1,3,1,16,1,1,28,25,34,1,2,276213,9909,382,0.9660112252076074,0.9660044407682465,2208266,2728,195,12121,15493
25,10,6,1/5,27,13,9,0,30,1,1,5,1,10,6,1,27,8,2,35,31,275705,12013,890,0.9589887898782709,0.9589852476766321,2203635,13532,4826,6401,8089
26,28,1/4,27,1/4,31,1,30,1,1,4,1,4,28,1,27,1,25,4,37,39,268360,4606,8235,0.9828647658510383,0.9828620911362886,2145614,32,62847,4721,6108
27,21,1/4,2,3,24,1,5,6,1,4,1,1,21,1,2,3,36,39,6,40,275304,6960,1291,0.9757341663824805,0.9757307791986906,2201099,8901,7362,6064,7735
28,15,16,30,20,18,19,33,23,1,1,1,1,15,16,30,20,7,12,12,26,274766,8962,1829,0.9689005785701051,0.9688972010201929,2196588,6202,11873,5514,7713
29,30,26,10,1,33,29,13,4,1,1,1,1,30,26,10,1,42,29,34,7,268708,4473,7887,0.9833804502613878,0.9833782121364556,2148238,1796,60223,3735,5111
30,15,18,1/5,23,18,21,0,26,1,1,5,1,15,18,1,23,2,41,40,9,275926,9628,669,0.966889790767104,0.9668846743022816,2206054,8966,2407,8776,11684
31,23,1/5,30,28,26,0,33,31,1,5,1,1,23,1,30,28,7,1,36,11,271519,5320,5076,0.980800343541468,0.980796409854075,2171360,52,37101,7244,8983
32,20,2,19,1/4,23,5,22,1,1,1,1,4,20,2,19,1,22,4,1,41,276087,8412,508,0.9709717475768174,0.9709639253060949,2208183,1017,278,13235,17863
33,28,29,9,1,31,32,12,4,1,1,1,1,28,29,9,1,38,40,19,28,271724,5253,4871,0.9810615874622376,0.9810590349225723,2172076,6943,36385,4126,5829
34,20,15,1/4,1/4,23,18,1,1,1,1,4,4,20,15,1,1,30,13,42,7,261001,9030,15594,0.9660897146707527,0.966086977773702,2086279,242,122182,5578,6250
35,22,1/5,8,25,25,0,11,28,1,5,1,1,22,1,8,25,38,25,1,2,276078,5797,517,0.9798012133326045,0.9797930280398572,2208209,551,252,14812,18692
36,10,1/3,29,1/4,13,2,32,1,1,3,1,4,10,1,29,1,40,1,30,17,270197,9379,6398,0.9666589127978833,0.9666568310045107,2159489,36,48972,3887,4754
37,28,17,27,30,31,20,30,33,1,1,1,1,28,17,27,30,28,13,16,39,271824,5387,4771,0.9806107301809663,0.9806077077708154,2173012,5223,35449,4787,6902
38,20,21,2,9,23,24,5,12,1,1,1,1,20,21,2,9,1,37,6,42,275994,10260,601,0.9648088123357823,0.96480228713531,2206719,15274,1742,11349,14901
39,22,29,17,28,25,32,20,31,1,1,1,1,22,29,17,28,5,4,41,1,274101,5501,2494,0.9805365107036206,0.9805313473831208,2192005,42,16456,9063,11791
40,13,1/3,8,26,16,2,11,29,1,3,1,1,13,1,8,26,35,33,1,4,276117,8869,478,0.9694500540660713,0.9694430318450947,2208230,1316,231,12182,16036
41,11,6,12,1/5,14,9,15,0,1,1,1,5,11,6,12,1,42,39,41,28,269513,9216,7082,0.9670837090245407,0.9670821154936019,2153828,1134,54633,2831,3639
42,18,1/2,28,26,21,3,31,29,1,2,1,1,18,1,28,26,19,18,40,2,271069,7492,5526,0.9732420111784476,0.9732395440299703,2166894,272,41567,4258,5634
43,27,7,24,29,30,10,27,32,1,1,1,1,27,7,24,29,12,41,4,37,275182,6649,1413,0.9767707861687592,0.9767655558490196,2201051,10763,7410,8355,11944
44,30,28,1/5,13,33,31,0,16,1,1,5,1,30,28,1,13,39,1,37,6,275666,10189,929,0.9649812475802481,0.9649761989904726,2203318,9512,5143,9581,11529
45,24,19,20,1/5,27,22,23,0,1,1,1,5,24,19,20,1,2,9,7,3,274954,5627,1641,0.9802236909578452,0.9802172874945538,2199120,2,9341,11499,14623
46,23,20,8,2,26,23,11,5,1,1,1,1,23,20,8,2,6,3,2,37,275812,5930,783,0.9793101851710483,0.9793037177738417,2206232,1747,2229,10926,14769
47,28,22,24,1/5,31,25,27,0,1,1,1,5,28,22,24,1,30,42,14,19,271097,4465,5498,0.9837229962146387,0.9837197850680671,2167340,612,41121,5339,7333
48,26,30,26,28,29,33,29,31,1,1,1,1,26,30,26,28,9,35,39,39,273071,6774,3524,0.9760204446350704,0.9760170009617254,2183077,12553,25384,5714,7864
49,25,1/5,1/5,1/5,28,0,0,0,1,5,5,5,25,1,1,1,1,21,40,27,259777,6160,16818,0.9760542695146229,0.9760471627782654,2077526,1179,130935,13908,16229
50,30,1/4,15,17,33,1,18,20,1,4,1,1,30,1,15,17,41,27,33,3,267837,4326,8758,0.9837847074125982,0.9837823549948452,2141065,538,67396,4035,5372
51,11,1/5,30,9,14,0,33,12,1,5,1,1,11,1,30,9,30,37,42,8,268914,9127,7681,0.9672745155534249,0.9672727118287927,2149766,1463,58695,3277,4119
52,23,30,29,1,26,33,32,4,1,1,1,1,23,30,29,1,35,5,7,16,274432,5500,2163,0.9805861577817838,0.9805818234126626,2194427,2123,14034,7023,9898
53,29,1/2,1/4,1/4,32,3,1,1,1,2,4,4,29,1,1,1,42,6,32,1,253001,7350,23594,0.9705577669863434,0.9705549552077894,2022289,0,186172,6427,6421
54,25,1/2,28,28,28,3,31,31,1,2,1,1,25,1,28,28,1,21,3,6,275824,6028,771,0.9789780798266927,0.9789698831484537,2206575,1567,1886,14687,18718
55,29,1/3,1/4,25,32,2,1,28,1,3,4,1,29,1,1,25,3,42,36,37,275618,8556,977,0.9704093078285863,0.9704037766691228,2203916,20722,4545,10025,12631
56,11,30,3,11,14,33,6,14,1,1,1,1,11,30,3,11,34,12,7,5,275358,10027,1237,0.9654597397278908,0.9654564269877007,2200947,3335,7514,5511,7565
57,27,1/4,28,1/3,30,1,31,2,1,4,1,3,27,1,28,1,29,28,37,6,268053,4739,8542,0.9823538892752783,0.9823514921913655,2142992,204,65469,4163,5474
58,23,9,30,30,26,12,33,33,1,1,1,1,23,9,30,30,30,42,5,34,274969,6551,1626,0.9770717589096782,0.977067275215454,2199028,10676,9433,7134,10239
59,30,29,1/3,9,33,32,2,12,1,1,3,1,30,29,1,9,27,39,30,42,275489,10358,1106,0.964388118039938,0.9643853198363934,2201376,32039,7085,5046,6390
60,29,12,1/2,27,32,15,3,30,1,1,2,1,29,12,1,27,4,3,4,42,276063,7132,532,0.9752705228164754,0.9752644390227595,2207180,11608,1281,10969,13893
61,21,1,27,19,24,4,30,22,1,1,1,1,21,1,27,19,41,5,29,42,269802,5351,6793,0.9804498727096237,0.9804477655178465,2156609,1025,51852,3515,4812
62,21,1/4,10,16,24,1,13,19,1,4,1,1,21,1,10,16,7,39,2,28,275734,8164,861,0.9717431359235816,0.971736783695003,2205893,2730,2568,11178,14506
63,23,26,10,1/5,26,29,13,0,1,1,1,5,23,26,10,1,19,37,41,37,270388,5187,6207,0.9811049095884766,0.9811024279891829,2161299,1653,47162,4250,5667
64,25,1/2,3,5,28,3,6,8,1,2,1,1,25,1,3,5,5,1,28,1,273867,5373,2728,0.9809443201351351,0.9809397028803348,2189888,9,18573,8511,10544
65,30,28,16,28,33,31,19,31,1,1,1,1,30,28,16,28,41,20,3,21,275435,5862,1160,0.9794882671220816,0.9794821640606104,2203772,7550,4689,9950,13937
66,22,1,28,22,25,4,31,25,1,1,1,1,22,1,28,22,37,31,8,32,274167,5855,2428,0.979330635884979,0.979326956619536,2191982,6731,16479,5896,8402
67,30,12,5,1/5,33,15,8,0,1,1,1,5,30,12,5,1,4,42,15,35,273886,5413,2709,0.9808092480249956,0.9808042427876694,2190187,1532,18274,8823,11430
68,26,29,3,30,29,32,6,33,1,1,1,1,26,29,3,30,24,10,20,42,272675,5794,3920,0.979325185596803,0.9793224697191217,2179485,6821,28976,4476,6202
69,27,23,7,3,30,26,10,6,1,1,1,1,27,23,7,3,2,3,34,3,274753,5871,1842,0.979359986414937,0.9793535943371373,2197573,1145,10888,11435,14597
70,29,15,29,29,32,18,32,32,1,1,1,1,29,15,29,29,11,39,42,11,272407,5413,4188,0.9806026375517242,0.9805991864340192,2177497,4703,30964,5769,7881
71,23,9,5,3,26,12,8,6,1,1,1,1,23,9,5,3,27,3,27,41,271351,5284,5244,0.9809018552297583,0.9808992492658625,2168813,2078,39648,4386,5951
72,23,27,16,10,26,30,19,13,1,1,1,1,23,27,16,10,3,42,1,42,276103,7527,492,0.9739450483669049,0.973937157783232,2208233,13546,228,13027,18019
73,30,1/5,22,17,33,0,25,20,1,5,1,1,30,1,22,17,41,14,15,2,271311,4399,5284,0.9839816601668968,0.9839782296306576,2169477,242,38984,5885,7834
74,26,26,1/4,28,29,29,1,31,1,1,4,1,26,26,1,28,2,11,42,2,275746,6065,849,0.9788408283396047,0.9788333660255824,2205136,1369,3325,13395,17041
75,21,20,29,26,24,23,32,29,1,1,1,1,21,20,29,26,37,42,29,25,270249,6521,6346,0.9764512684880576,0.9764492922294353,2160022,10288,48439,3084,4513
76,30,1/3,5,29,33,2,8,32,1,3,1,1,30,1,5,29,39,35,41,41,268411,4772,8184,0.9822864847749639,0.9822844406412947,2146278,4155,62183,3475,4668
77,28,30,27,1/2,31,33,30,3,1,1,1,2,28,30,27,1,2,39,31,41,274451,6277,2144,0.9779282278480019,0.9779222570333963,2194993,5286,13468,10501,13635
78,7,1/4,11,1/5,10,1,14,0,1,4,1,5,7,1,11,1,29,14,42,5,269588,12689,7007,0.9554323424558029,0.9554304095496299,2154706,2,53755,3732,4414
79,21,28,10,22,24,31,13,25,1,1,1,1,21,28,10,22,37,28,1,8,276136,6664,459,0.9768643170500209,0.976857041720805,2208234,4475,227,12064,16614
80,30,10,24,1/2,33,13,27,3,1,1,1,2,30,10,24,1,9,3,6,1,274524,5105,2071,0.981956753898296,0.9819513768808744,2195731,2,12730,9132,12279
81,30,1/5,28,11,33,0,31,14,1,5,1,1,30,1,28,11,6,19,2,20,275596,5480,999,0.9808162231920282,0.9808084504044045,2205399,699,3062,13978,17750
82,25,27,11,1/2,28,30,14,3,1,1,1,2,25,27,11,1,4,41,23,42,274394,6216,2201,0.9781281625439302,0.9781236114125627,2194209,5587,14252,7812,10393
83,23,6,1/3,27,26,9,2,30,1,1,3,1,23,6,1,27,9,9,32,25,275247,7129,1348,0.9751528004036557,0.9751492209802171,2200010,13543,8451,6350,8174
84,24,10,23,18,27,13,26,21,1,1,1,1,24,10,23,18,41,4,41,2,268012,4815,8583,0.9820801842827596,0.9820777858851362,2142388,474,66073,3936,5477
85,27,21,8,27,30,24,11,30,1,1,1,1,27,21,8,27,38,41,4,10,275398,5661,1197,0.9801696780706478,0.9801648278511705,2202368,5241,6093,7985,11076
86,29,1/5,24,29,32,0,27,32,1,5,1,1,29,1,24,29,37,42,38,34,266580,4455,10015,0.983159638600873,0.9831575375397451,2131550,1622,76911,3567,4798
87,30,3,10,9,33,6,13,12,1,1,1,1,30,3,10,9,40,9,20,20,271263,4722,5332,0.982846927432597,0.9828442185613722,2168799,3108,39662,4461,6186
88,24,19,4,28,27,22,7,31,1,1,1,1,24,19,4,28,4,15,33,41,274705,6466,1890,0.9773214323578514,0.9773169114418273,2196584,7299,11877,7769,10324
89,26,27,1,1/3,29,30,4,2,1,1,1,3,26,27,1,1,20,41,3,41,274350,6242,2245,0.9780328161291889,0.9780287462537988,2193287,5409,15174,7232,9294
90,20,30,29,14,23,33,32,17,1,1,1,1,20,30,29,14,1,34,40,7,275003,8762,1592,0.9696123285391524,0.9696057810056002,2199176,3664,9285,11651,14952
91,20,1/3,29,18,23,2,32,21,1,3,1,1,20,1,29,18,31,42,42,34,268886,7775,7709,0.9719016518778596,0.9718997596967147,2149596,3050,58865,3199,4321
92,23,2,7,30,26,5,10,33,1,1,1,1,23,2,7,30,11,1,32,15,273079,5146,3516,0.9816191959233971,0.98161564277417,2182845,283,25616,6334,8114
93,26,25,21,10,29,28,24,13,1,1,1,1,26,25,21,10,38,11,29,1,269487,4432,7108,0.9836278470556099,0.9836246788235841,2154490,31,53971,5204,7235
