observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,232071,1033,5844,0.9951577232645835,0.9951491678111711,1863812,4723,44944,8911,13811
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,231812,1980,6103,0.9911813372011634,0.9911767234138189,1861848,14495,46908,4561,7448
3,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,236189,8077,1726,0.9674366625108372,0.9674331643828653,1896215,62607,12541,3607,5647
4,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,229939,617,7976,0.9966876052597108,0.9966811268778567,1847599,3402,61157,6308,10458
5,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,236472,2003,1443,0.9916473695378499,0.9916307944696466,1902620,13215,6136,17712,26757
6,28,13,24,2,31,16,27,5,1,1,1,1,28,13,24,2,42,42,36,2,226187,449,11728,0.9970264687392197,0.9970197301813876,1816724,1454,92032,6172,10878
7,3,25,20,1/2,6,28,23,3,1,1,1,2,3,25,20,1,29,5,29,30,233140,2101,4775,0.9908434741010499,0.9908374175759602,1871752,14026,37004,6134,9777
8,4,1/4,28,24,7,1,31,27,1,4,1,1,4,1,28,24,37,41,1,41,237165,2113,750,0.9912822004228703,0.9912629901436891,1905054,13445,3702,21397,31011
9,17,15,1/3,26,20,18,2,29,1,1,3,1,17,15,1,26,5,42,6,3,237281,1727,634,0.9928651092485951,0.9928491586027391,1907019,9523,1737,20211,25749
10,29,1/5,1/3,28,32,0,2,31,1,5,3,1,29,1,1,28,20,17,37,38,236422,8741,1493,0.9649167057250152,0.9649110964548212,1897851,67411,10905,6886,9055
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,234887,2006,3028,0.9914464962393017,0.9914340195622198,1888516,13994,20240,12395,20141
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,234492,3140,3423,0.9867627883560208,0.9867575074031325,1882732,22696,26024,5392,8525
13,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,236374,1526,1541,0.9935842871993017,0.9935703380500771,1898434,8604,10322,17023,22518
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,237403,8630,512,0.9655605890967704,0.9655544179703571,1906112,66520,2644,6754,9962
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,235362,2082,2553,0.9911922936296307,0.9911855569301984,1890202,14419,18554,7830,10875
16,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,229464,758,8451,0.9960418595941433,0.9960361753684889,1843170,4403,65586,5652,9176
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,236903,4981,1012,0.9797290060049307,0.9797167269376987,1904352,37208,4404,11790,19822
18,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,226502,1700,11413,0.9917062564859861,0.9917026648185554,1818206,12436,90550,4115,5798
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,237483,2557,432,0.9895228075292453,0.9895071492716314,1907129,14728,1627,19771,25277
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,236870,666,1045,0.9971643940029868,0.997143700101264,1903551,1558,5205,23380,33406
21,13,1/3,26,28,16,2,29,31,1,3,1,1,13,1,26,28,42,1,6,38,233918,460,3997,0.9977362215723575,0.9977235602942245,1881981,1601,26775,14121,20439
22,29,25,18,23,32,28,21,26,1,1,1,1,29,25,18,23,33,42,41,16,226501,1600,11414,0.9921318379264089,0.992127963782202,1818729,11702,90027,3609,6254
23,30,30,6,10,33,33,9,13,1,1,1,1,30,30,6,10,1,15,1,40,237355,2717,560,0.9888602562208562,0.9888397741767154,1906636,17490,2120,23253,33064
24,1/3,14,7,1/3,2,17,10,2,3,1,1,3,1,14,7,1,8,2,17,1,233991,365,3924,0.9981393795719422,0.9981228292824035,1880988,256,27768,19634,26717
25,4,1/5,1/4,30,7,0,1,33,1,5,4,1,4,1,1,30,42,16,42,8,236694,3637,1221,0.985064757892662,0.9850563337661719,1899892,25835,8864,10706,13599
26,29,3,19,1/4,32,6,22,1,1,1,1,4,29,3,19,1,37,40,1,17,235886,1031,2029,0.9955643897853673,0.995541636776618,1895261,4771,13495,25234,36730
27,3,26,30,1/2,6,29,33,3,1,1,1,2,3,26,30,1,35,20,31,1,229576,230,8339,0.9982946336314875,0.9982850108370984,1845711,308,63045,10140,15534
28,23,7,1/5,23,26,10,0,26,1,1,5,1,23,7,1,23,4,2,2,13,237521,5398,394,0.9781816013348548,0.9781677513002885,1907002,38740,1754,18650,22358
29,3,1/4,5,5,6,1,8,8,1,4,1,1,3,1,5,5,38,2,13,35,233443,2377,4472,0.9897444224777295,0.9897369727722239,1875106,17469,33650,8930,12026
30,1/5,1/5,28,29,0,0,31,32,5,5,1,1,1,1,28,29,7,42,11,10,232912,1380,5003,0.9938025586302633,0.9937937981334015,1871115,9445,37641,9624,14142
31,25,1/4,27,16,28,1,30,19,1,4,1,1,25,1,27,16,1,42,5,32,235629,1458,2286,0.9937809453388216,0.9937645139868728,1893963,8936,14793,19122,26525
32,11,29,26,4,14,32,29,7,1,1,1,1,11,29,26,4,32,1,31,1,229818,281,8097,0.998100717064865,0.9980901539201551,1845840,670,62916,10031,17052
33,28,23,1/3,21,31,26,2,24,1,1,3,1,28,23,1,21,6,42,34,2,236288,1170,1627,0.9950345129856707,0.9950177787145476,1898212,3916,10544,20636,27014
34,8,2,2,2,11,5,5,5,1,1,1,1,8,2,2,2,34,39,3,8,236696,2494,1219,0.9896786521410994,0.9896696562469242,1901611,17073,7145,9717,14522
35,18,17,11,26,21,20,14,29,1,1,1,1,18,17,11,26,40,7,1,27,237294,2144,621,0.9911717901616635,0.9911524473166268,1906121,13680,2635,21135,31225
36,20,19,21,1/5,23,22,24,0,1,1,1,5,20,19,21,1,6,41,42,11,227139,543,10776,0.9967191585501319,0.9967117014110269,1825267,2766,83489,8500,12038
37,19,30,15,29,22,33,18,32,1,1,1,1,19,30,15,29,31,11,18,1,231189,290,6726,0.9981921155305186,0.998181424775686,1858290,696,50466,10192,17258
38,10,1/3,29,1/4,13,2,32,1,1,3,1,4,10,1,29,1,40,1,30,17,227262,293,10653,0.9978038498047526,0.997796835584277,1826202,1100,82554,7551,11323
39,30,21,7,1/4,33,24,10,1,1,1,1,4,30,21,7,1,20,3,4,42,235481,1340,2434,0.9942498588093506,0.9942373815128019,1893671,7985,15085,13544,20142
40,1/4,1/4,1/4,10,1,1,1,13,4,4,4,1,1,1,1,10,7,34,1,29,236299,8875,1616,0.9643722726167477,0.9643667909566763,1896189,68036,12567,7695,8849
41,30,22,24,26,33,25,27,29,1,1,1,1,30,22,24,26,6,2,12,25,233273,891,4642,0.995875921953567,0.9958650081907533,1874881,4359,33875,11874,17618
42,3,1/3,13,20,6,2,16,23,1,3,1,1,3,1,13,20,30,39,1,39,237292,2628,623,0.9892116846805422,0.989194428199063,1905947,17618,2809,18934,27857
43,20,28,4,12,23,31,7,15,1,1,1,1,20,28,4,12,3,30,36,3,232894,898,5021,0.9958077508762607,0.9957974627747277,1871406,4926,37350,11909,16608
44,29,29,12,1/4,32,32,15,1,1,1,1,4,29,29,12,1,38,13,1,3,235215,385,2700,0.9981697145255412,0.9981468134642709,1890702,200,18054,26858,36969
45,1/3,10,21,1/4,2,13,24,1,3,1,1,4,1,10,21,1,41,39,42,1,219413,163,18502,0.9975912826054122,0.9975835968831265,1763459,150,145297,8668,12407
46,30,30,24,26,33,33,27,29,1,1,1,1,30,30,24,26,38,35,40,13,225687,1388,12228,0.9929394725194662,0.9929355742160614,1811984,10163,96772,3567,6293
47,6,7,18,7,9,10,21,10,1,1,1,1,6,7,18,7,1,7,19,41,235072,2656,2843,0.9888120113872888,0.9888038226581122,1887903,18466,20853,9834,13219
48,18,1/4,26,1/3,21,1,29,2,1,4,1,3,18,1,26,1,9,38,3,2,234962,313,2953,0.9984455725162942,0.9984280763012352,1890780,178,17976,19594,28244
49,12,28,6,1/4,15,31,9,1,1,1,1,4,12,28,6,1,25,3,30,1,228951,204,8964,0.9983464890363327,0.9983372627005769,1840181,171,68575,9597,14894
50,2,3,19,28,5,6,22,31,1,1,1,1,2,3,19,28,39,13,1,9,237478,2800,437,0.9885412666172528,0.9885276495021337,1906765,18865,1991,13870,21982
51,22,2,22,4,25,5,25,7,1,1,1,1,22,2,22,4,41,40,41,38,226167,2121,11748,0.9898742361165638,0.9898709585187067,1815542,15963,93214,2946,5291
52,29,4,13,26,32,7,16,29,1,1,1,1,29,4,13,26,1,35,5,42,236028,2391,1887,0.9900132931267839,0.9899976435417026,1896768,16002,11988,18076,25263
53,19,27,9,29,22,30,12,32,1,1,1,1,19,27,9,29,17,15,15,1,232545,315,5370,0.9982138648898892,0.9982023174127289,1868945,811,39811,11369,18641
54,29,1/2,1/4,1/4,32,3,1,1,1,2,4,4,29,1,1,1,42,6,32,1,184466,117,53449,0.9936243345260459,0.9936170613685255,1482581,94,426175,9469,11741
55,1/3,1/3,23,1/3,2,2,26,2,3,3,1,3,1,1,23,1,2,7,5,10,233977,837,3938,0.996172363615494,0.9961591417200748,1881575,4161,27181,15498,21344
56,19,24,22,29,22,27,25,32,1,1,1,1,19,24,22,29,41,10,4,35,235581,1894,2334,0.9919876640006604,0.9919747190068179,1894281,12993,14475,13214,20897
57,16,1,13,3,19,4,16,6,1,1,1,1,16,1,13,3,7,33,38,1,231099,281,6816,0.998221680466605,0.9982109723667073,1856530,557,52226,11159,17286
58,27,17,8,3,30,20,11,6,1,1,1,1,27,17,8,3,2,1,7,19,235505,1067,2410,0.9953767317391131,0.9953616601163832,1893774,5981,14982,18345,24330
59,1/5,1/4,8,7,0,1,11,10,5,4,1,1,1,1,8,7,29,2,39,42,229763,3262,8152,0.9855878532687492,0.9855840373544041,1844341,25015,64415,4589,6160
60,1/4,29,27,21,1,32,30,24,4,1,1,1,1,29,27,21,1,42,1,7,237619,3845,296,0.9843656622714277,0.9843547206326164,1907726,26513,1030,11404,17663
61,18,18,30,14,21,21,33,17,1,1,1,1,18,18,30,14,38,1,10,40,233358,783,4557,0.9963346729487182,0.9963237028144427,1874891,4394,33865,11463,17709
62,1,29,11,5,4,32,14,8,1,1,1,1,1,29,11,5,33,29,40,16,234847,4749,3068,0.9803166924623141,0.9803130803524852,1885305,35620,23451,3417,5831
