observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,173360,3859,7481,0.9778249869254827,0.9778184708998946,1389175,19571,57545,4643,7884
2,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,170374,1559,10467,0.9899067556107345,0.9898974129987042,1366219,3628,80501,6663,11304
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,172195,2804,8646,0.9833205265725818,0.9833091450164716,1381854,7611,64866,8892,13771
4,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,178963,43743,1878,0.8066167061870377,0.8066121109178508,1432785,79589,13935,3737,5560
5,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,178296,4643,2545,0.9748435513226459,0.9748126696260329,1436210,14099,10510,24118,37365
6,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,174383,3795,6458,0.97840861361806,0.9784005380110051,1398247,18853,48473,5665,9771
7,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,166022,1636,14819,0.988687224745158,0.9886742654248611,1332940,1381,113780,9155,15680
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,179485,20925,1356,0.8973414575103059,0.8973353406780663,1436902,96470,9818,5601,7401
9,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,170733,22845,10108,0.8831477391804794,0.8831395751392873,1368456,16838,78264,6997,9878
10,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,175924,3507,4917,0.9803008148927445,0.9802767327068509,1415893,2194,30827,23044,29138
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,176270,3798,4571,0.9788239297490176,0.9788024435596198,1417924,13406,28796,15554,25997
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,176039,12677,4802,0.9336041599821806,0.9335973893985153,1410271,29543,36449,5140,8192
13,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,180167,16423,674,0.9179313801623865,0.9179224466615518,1443909,86005,2811,7561,10809
14,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,178736,11420,2105,0.940865832814391,0.9408416985597998,1435988,11712,10732,21480,29201
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,177164,5195,3677,0.9716740057952497,0.9716633556803679,1421301,19714,25419,8704,12886
16,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,169611,1543,11230,0.9898642374857118,0.9898561627051442,1359950,4473,86770,5849,9770
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,178878,8197,1963,0.9568210420821961,0.9567977896895155,1438286,42133,8434,16574,28134
18,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,179739,14952,1102,0.9245167529087412,0.9244917351392651,1444137,19035,2583,23268,30270
19,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,166373,3565,14468,0.9777671156701678,0.9777620030199538,1333284,13831,113436,4115,6186
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,178848,33505,1993,0.8447273217107126,0.8446869188808203,1441143,1090,5577,36090,48885
21,22,1/5,20,25,25,0,23,28,1,5,1,1,22,1,20,25,11,8,30,15,168453,1510,12388,0.9898486642657657,0.9898391142054321,1351855,3169,94865,7769,11555
22,10,18,1/3,4,13,21,2,7,1,1,3,1,10,18,1,4,38,36,5,34,178943,13432,1898,0.9312947684323949,0.9312860489917615,1433758,78711,12962,7520,10550
23,13,19,2,1/5,16,22,5,0,1,1,1,5,13,19,2,1,40,1,42,3,164881,1344,15960,0.990173274467785,0.9901576637763457,1322906,37,123814,13568,18888
24,11,13,30,1/5,14,16,33,0,1,1,1,5,11,13,30,1,19,3,17,39,171769,2195,9072,0.9866024160383647,0.986592351902953,1378430,6648,68290,7323,12177
25,6,16,30,30,9,19,33,33,1,1,1,1,6,16,30,30,4,40,1,17,179188,7657,1653,0.9596362392336277,0.9596025210327253,1442469,32345,4251,25981,40797
26,17,1/4,9,24,20,1,12,27,1,4,1,1,17,1,9,24,16,2,17,42,171674,1953,9167,0.9879308019138721,0.9879189492600214,1378172,5255,68548,9926,14341
27,6,1,1/5,1/5,9,4,0,0,1,1,5,5,6,1,1,1,42,32,30,21,121281,2326,59560,0.9721792924952996,0.9721739740497568,973173,3517,473547,5299,6435
28,4,7,1/3,17,7,10,2,20,1,1,3,1,4,7,1,17,1,20,10,6,179746,8463,1095,0.9557823700782361,0.9557643030666487,1442982,26280,3738,16301,21860
29,25,1/2,29,1/2,28,3,32,3,1,2,1,2,25,1,29,1,2,42,39,1,169075,2091,11766,0.9866683784674909,0.9866492138808172,1360115,56,86605,17313,23188
30,30,24,26,8,33,27,29,11,1,1,1,1,30,24,26,8,27,10,1,9,178604,5030,2237,0.9729045081293448,0.9728536618063867,1441028,9350,5692,43217,61521
31,16,13,13,1,19,16,16,4,1,1,1,1,16,13,13,1,16,1,40,40,169959,2550,10882,0.9842673813167856,0.9842553112967846,1364136,7950,82584,9759,14604
32,11,29,1,13,14,32,4,16,1,1,1,1,11,29,1,13,42,5,22,8,176743,4829,4098,0.9734828735686757,0.9734742400827177,1416417,24137,30303,6602,10446
33,23,1/2,1/2,21,26,3,3,24,1,2,2,1,23,1,1,21,1,28,28,2,178234,5311,2607,0.9713505169629102,0.9713176847563545,1433714,5526,13006,31524,39725
34,11,1/5,23,26,14,0,26,29,1,5,1,1,11,1,23,26,39,41,2,23,178097,3816,2744,0.9791383393490055,0.9791051715886206,1435361,9251,11359,26867,40131
35,28,2,16,1,31,5,19,4,1,1,1,1,28,2,16,1,26,5,1,3,178607,4289,2234,0.9767690119324121,0.9767208227660071,1441036,4294,5684,41613,58306
36,27,29,8,1/5,30,32,11,0,1,1,1,5,27,29,8,1,16,5,24,40,170441,2172,10400,0.9864764845619999,0.9864681527438932,1366753,7649,79967,6229,10081
37,27,28,27,7,30,31,30,10,1,1,1,1,27,28,27,7,29,38,1,1,178372,4046,2469,0.9779892652119022,0.9779352476573128,1440992,358,5728,48755,65358
38,18,6,1,27,21,9,4,30,1,1,1,1,18,6,1,27,3,42,5,35,179219,9117,1622,0.9523498281754073,0.952336247336688,1437863,54304,8857,11783,16432
39,10,1/3,29,1/4,13,2,32,1,1,3,1,4,10,1,29,1,40,1,30,17,167193,1677,13648,0.988667573929353,0.9886573825149026,1341603,1352,105117,8533,12331
40,15,30,1/5,30,18,33,0,33,1,1,5,1,15,30,1,30,32,7,39,3,179247,11352,1594,0.9414043330218551,0.9413797648614505,1440360,12611,6360,21666,29726
41,18,1/5,9,1,21,0,12,4,1,5,1,1,18,1,9,1,42,19,41,37,166315,1819,14526,0.9876883253179234,0.9876828432279023,1332898,8107,113822,4071,6633
42,29,12,4,1/5,32,15,7,0,1,1,1,5,29,12,4,1,2,32,17,20,170618,2565,10223,0.9843185634203505,0.9843021130178512,1370278,5040,76442,15317,19904
43,5,1/5,24,23,8,0,27,26,1,5,1,1,5,1,24,23,26,42,6,24,176064,4376,4777,0.9757048040759881,0.975689663655802,1414847,11034,31873,11594,18319
