observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,7489,1196,594,0.8634883592222263,0.8634796382919938,58081,3673,199,137,492
2,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,7328,527,755,0.9323677152410569,0.9323318034429854,57522,446,758,1160,2026
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,7039,710,1044,0.9075928867617024,0.9075778023884749,54650,279,3630,399,851
4,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,6979,536,1104,0.9272742733539188,0.9272603056851723,54150,747,4130,401,788
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,6645,408,1438,0.9394085048631532,0.9393929773532269,51849,186,6431,460,876
6,27,20,1/2,22,30,23,3,25,1,1,2,1,27,20,1,22,42,10,41,42,7334,785,749,0.9033933296215455,0.903380141873389,57042,2363,1238,401,744
7,1,1/5,11,22,4,0,14,25,1,5,1,1,1,1,11,22,3,40,41,42,7031,707,1052,0.9078232126948056,0.907813020550733,54668,507,3612,239,575
8,11,1/4,27,5,14,1,30,8,1,4,1,1,11,1,27,5,10,25,5,14,7208,710,875,0.9099516493504853,0.9099317968263787,56458,347,1822,626,1120
9,7,30,15,2,10,33,18,5,1,1,1,1,7,30,15,2,38,42,28,1,6850,678,1233,0.9085965168256158,0.9085765224977655,53279,15,5001,482,1128
10,1/2,25,1/5,26,3,28,0,29,2,1,5,1,1,25,1,26,1,3,22,8,7476,1002,607,0.8826342073883424,0.8826096398897605,58175,1229,105,669,1386
11,1,20,1,25,4,23,4,28,1,1,1,1,1,20,1,25,6,41,41,37,7473,962,610,0.8866914413452365,0.8866830926498309,58004,4230,276,126,471
12,1/2,28,28,3,3,31,31,6,2,1,1,1,1,28,28,3,38,32,5,42,7445,768,638,0.9067767709246809,0.9067679436416406,57773,2421,507,140,498
13,27,3,11,1/2,30,6,14,3,1,1,1,2,27,3,11,1,39,8,24,8,6543,420,1540,0.9366679073496149,0.9366532306621503,50936,206,7344,417,828
14,1/2,15,25,30,3,18,28,33,2,1,1,1,1,15,25,30,8,2,4,2,7457,883,626,0.8946760953393339,0.8946457493381995,58075,735,205,803,1712
15,3,1/4,30,1/5,6,1,33,0,1,4,1,5,3,1,30,1,2,42,36,4,7176,758,907,0.9041222228101872,0.9040963436269768,55880,2,2400,746,1460
16,30,13,22,30,33,16,25,33,1,1,1,1,30,13,22,30,6,38,5,12,7103,454,980,0.9386166141615747,0.9385870303555622,55798,352,2482,1006,1669
17,10,15,3,1/3,13,18,6,2,1,1,1,3,10,15,3,1,1,23,13,38,7372,782,711,0.9042536227795372,0.9042126769485673,57738,549,542,1416,2310
18,11,1/4,11,17,14,1,14,20,1,4,1,1,11,1,11,17,37,14,2,25,7330,733,753,0.9090458119403726,0.909010343279,57536,282,744,1164,2001
19,27,26,22,1/4,30,29,25,1,1,1,1,4,27,26,22,1,17,1,31,29,6635,405,1448,0.9396872335664495,0.9396650235551052,51716,25,6564,692,1253
20,1/5,19,5,8,0,22,8,11,5,1,1,1,1,19,5,8,4,42,40,4,7468,991,615,0.8836322158959141,0.8836148094863849,58066,1318,214,413,982
21,27,1/5,23,11,30,0,26,14,1,5,1,1,27,1,23,11,1,14,38,33,7316,508,767,0.934452905668282,0.934390387942814,57598,146,682,2417,3527
22,1/4,4,1/2,9,1,7,3,12,4,1,2,1,1,4,1,9,29,41,41,36,7431,769,652,0.9064781901176677,0.9064701959316213,57805,2408,475,115,451
23,4,30,28,28,7,33,31,31,1,1,1,1,4,30,28,28,5,27,13,42,7358,936,725,0.8875989471373185,0.8875883827584189,57295,1555,985,216,596
24,26,10,13,3,29,13,16,6,1,1,1,1,26,10,13,3,40,2,21,8,6612,418,1471,0.9377313481944558,0.9377151116658115,51580,194,6700,478,916
25,20,1/4,1/2,26,23,1,3,29,1,4,2,1,20,1,1,26,2,32,6,1,7361,499,722,0.9359828901157867,0.9359282779490256,57799,66,481,1911,3081
26,12,2,6,30,15,5,9,33,1,1,1,1,12,2,6,30,19,27,42,39,6917,741,1166,0.902237005152286,0.9022245618737834,53778,704,4502,315,702
27,18,1/3,2,1/4,21,2,5,1,1,3,1,4,18,1,2,1,40,10,19,13,7098,494,985,0.9337237661507376,0.9337096389527796,55352,379,2928,445,797
28,15,29,20,21,18,32,23,24,1,1,1,1,15,29,20,21,40,42,1,31,7378,616,705,0.9227367436322661,0.922671301204586,58174,817,106,2186,3692
29,26,6,1/2,24,29,9,3,27,1,1,2,1,26,6,1,24,3,32,1,15,7469,712,614,0.9131878557874765,0.9131428330988776,58272,1818,8,1687,2540
30,22,26,30,5,25,29,33,8,1,1,1,1,22,26,30,5,6,6,5,3,7139,455,944,0.9388751384179973,0.9388483197849854,56037,217,2243,906,1513
31,19,22,7,26,22,25,10,29,1,1,1,1,19,22,7,26,8,33,30,36,7054,501,1029,0.9323830621923559,0.9323630146881018,55222,626,3058,639,1131
32,21,1/3,30,8,24,2,33,11,1,3,1,1,21,1,30,8,25,41,14,20,6763,453,1320,0.9349760967962242,0.9349590271705861,52851,297,5429,509,963
33,29,30,11,28,32,33,14,31,1,1,1,1,29,30,11,28,41,2,2,27,7321,510,762,0.9342729235685372,0.9342315346008685,57526,368,754,1470,2335
34,19,28,28,1/5,22,31,31,0,1,1,1,5,19,28,28,1,1,8,41,16,7334,529,749,0.9322012354780488,0.9321474741337493,57632,211,648,2003,3033
35,19,1,1/4,1/5,22,4,1,0,1,1,4,5,19,1,1,1,9,3,3,37,7127,621,956,0.9190555405109161,0.9190268784292371,55798,564,2482,1093,1617
36,24,23,23,20,27,26,26,23,1,1,1,1,24,23,23,20,11,34,39,41,6890,454,1193,0.9362965056707769,0.9362767240485421,53820,477,4460,624,1116
37,18,1/4,1/4,29,21,1,1,32,1,4,4,1,18,1,1,29,6,9,19,33,7431,789,652,0.904316037219219,0.9042931359146246,57832,2328,448,836,1292
38,30,17,29,1/5,33,20,32,0,1,1,1,5,30,17,29,1,34,37,8,17,6951,426,1132,0.9404528677656431,0.9404287788546958,54533,167,3747,814,1359
39,16,28,18,1/5,19,31,21,0,1,1,1,5,16,28,18,1,13,1,36,1,6924,449,1159,0.9372969460688759,0.9372721835901465,54224,0,4056,757,1397
40,25,1/5,29,24,28,0,32,27,1,5,1,1,25,1,29,24,41,15,30,2,6156,400,1927,0.9346333583338141,0.934619638821619,47737,105,10543,362,774
41,26,3,28,1/5,29,6,31,0,1,1,1,5,26,3,28,1,33,42,16,27,6650,419,1433,0.9380360205831905,0.938018720526469,51845,205,6435,523,976
42,25,30,29,30,28,33,32,33,1,1,1,1,25,30,29,30,40,5,30,38,6171,413,1912,0.9330236861919752,0.9330105516202225,47851,250,10429,331,741
43,17,27,1/4,20,20,30,1,23,1,1,4,1,17,27,1,20,34,37,41,9,7410,743,673,0.9090239952892684,0.9090093186018038,57645,1775,635,461,828
44,18,11,11,5,21,14,14,8,1,1,1,1,18,11,11,5,1,25,3,1,7343,524,740,0.9328803809272143,0.9328207347275546,57840,14,440,2215,3365
45,18,1/5,29,19,21,0,32,22,1,5,1,1,18,1,29,19,19,5,39,2,6695,427,1388,0.9375148784101316,0.9374960362376983,52203,25,6077,555,1063
46,28,25,30,29,31,28,33,32,1,1,1,1,28,25,30,29,1,25,17,40,7324,549,759,0.9297720002031178,0.929709411575778,57691,435,589,2393,3531
47,28,7,29,2,31,10,32,5,1,1,1,1,28,7,29,2,36,6,37,40,5935,416,2148,0.929429156670279,0.9294168374700521,46103,247,12177,290,695
48,22,1/2,13,25,25,3,16,28,1,2,1,1,22,1,13,25,3,5,42,16,7219,471,864,0.9377931009397419,0.937761053293684,56676,185,1604,1157,1808
49,21,2,13,13,24,5,16,16,1,1,1,1,21,2,13,13,42,35,1,36,7377,588,706,0.9259026829464214,0.9258378431846517,58177,595,103,2200,3658
50,24,23,23,1/3,27,26,26,2,1,1,1,3,24,23,23,1,15,22,29,1,6696,407,1387,0.9401061410159212,0.9400838601027051,52457,0,5823,702,1257
51,23,29,17,15,26,32,20,18,1,1,1,1,23,29,17,15,2,24,20,32,7277,510,806,0.9337963176832305,0.933755956792703,57127,457,1153,1478,2277
52,19,1/5,26,1/5,22,0,29,0,1,5,1,5,19,1,26,1,35,3,41,12,6161,417,1922,0.9323406122788699,0.9323246239067768,47974,5,10306,421,902
53,26,3,30,2,29,6,33,5,1,1,1,1,26,3,30,2,19,42,6,41,7047,458,1036,0.9375299339059356,0.937503398880411,55354,480,2926,879,1497
54,30,29,14,1/4,33,32,17,1,1,1,1,4,30,29,14,1,40,40,33,1,6123,391,1960,0.9354689872856886,0.9354517049544351,47683,0,10597,483,975
55,10,1/2,1,22,13,3,4,25,1,2,1,1,10,1,1,22,31,33,2,3,7453,842,630,0.8989525688839142,0.898929561226512,58020,879,260,751,1298
56,28,19,20,29,31,22,23,32,1,1,1,1,28,19,20,29,2,39,42,35,7260,507,823,0.9339638661472833,0.9339202437706526,57075,456,1205,1620,2461
57,27,4,26,26,30,7,29,29,1,1,1,1,27,4,26,26,2,10,14,8,7261,491,822,0.9358623054099827,0.9358192147973905,57080,320,1200,1606,2431
58,30,1/5,22,25,33,0,25,28,1,5,1,1,30,1,22,25,38,38,4,40,7162,462,921,0.9382721224967837,0.9382392417537321,56358,281,1922,1146,1855
59,20,29,27,2,23,32,30,5,1,1,1,1,20,29,27,2,13,3,4,28,7183,466,900,0.938012557328068,0.9379829380711197,56464,236,1816,1010,1671
60,18,1/3,12,7,21,2,15,10,1,3,1,1,18,1,12,7,42,16,24,5,6602,445,1481,0.9341060483437374,0.9340925947135617,51493,269,6787,357,759
61,12,16,28,12,15,19,31,15,1,1,1,1,12,16,28,12,3,20,42,15,7272,762,811,0.9050427007907922,0.9050188954873322,56992,736,1288,778,1343
62,26,29,10,1/5,29,32,13,0,1,1,1,5,26,29,10,1,40,5,17,40,6803,440,1280,0.9370781564230418,0.93706172491425,53085,304,5195,502,927
63,17,4,16,24,20,7,19,27,1,1,1,1,17,4,16,24,36,41,7,3,7100,479,983,0.9355547708022579,0.9355328798493368,55680,277,2600,714,1235
64,16,1/5,25,26,19,0,28,29,1,5,1,1,16,1,25,26,8,1,10,40,7032,447,1051,0.9387164467606808,0.9386927123590926,55124,1,3156,788,1339
65,28,1/4,28,1/2,31,1,31,3,1,4,1,2,28,1,28,1,25,7,22,5,6400,402,1683,0.9373690978701216,0.9373531449489645,49894,99,8386,463,900
66,21,14,1/4,1/4,24,17,1,1,1,1,4,4,21,14,1,1,39,39,18,37,6515,516,1568,0.9238461494829865,0.923831791853945,50812,555,7468,497,810
67,24,1/4,23,25,27,1,26,28,1,4,1,1,24,1,23,25,35,2,3,41,7191,452,892,0.9397788755586921,0.939738390589889,56746,43,1534,1454,2284
68,25,15,27,26,28,18,30,29,1,1,1,1,25,15,27,26,1,8,39,3,7328,520,755,0.9331822175812141,0.9331211001677144,57695,215,585,2346,3448
69,23,27,1/3,28,26,30,2,31,1,1,3,1,23,27,1,28,7,39,1,10,7482,767,601,0.9073842302878599,0.9073509950354492,58270,2113,10,1254,1875
70,16,27,26,1/5,19,30,29,0,1,1,1,5,16,27,26,1,24,4,1,6,7352,539,731,0.9312411651154424,0.9311737019844157,58021,129,259,2327,3806
71,24,25,11,3,27,28,14,6,1,1,1,1,24,25,11,3,37,42,34,31,6265,442,1818,0.9302815939369102,0.9302689025018563,48617,459,9663,308,716
72,20,2,27,30,23,5,30,33,1,1,1,1,20,2,27,30,9,14,3,12,7234,501,849,0.9343887077690921,0.934356376515547,56903,407,1377,1068,1824
73,28,4,1/5,18,31,7,0,21,1,1,5,1,28,4,1,18,7,41,16,27,7443,822,640,0.9009412493826682,0.9009151220429064,57968,2575,312,985,1474
74,11,1/4,28,1/3,14,1,31,2,1,4,1,3,11,1,28,1,24,1,28,29,6743,657,1340,0.9095372595991722,0.9095196936604314,52449,3,5831,501,991
75,26,15,1/3,6,29,18,2,9,1,1,3,1,26,15,1,6,3,3,37,4,7365,540,718,0.9312694093488574,0.9312326112773883,57514,701,766,1368,2076
76,28,30,27,1/2,31,33,30,3,1,1,1,2,28,30,27,1,2,39,31,41,7260,500,823,0.9347888227068704,0.9347452003302397,57074,372,1206,1623,2461
77,14,1/4,29,23,17,1,32,26,1,4,1,1,14,1,29,23,40,31,42,19,6306,466,1777,0.9275957530059339,0.9275850999996945,48936,328,9344,223,601
78,22,27,7,1/5,25,30,10,0,1,1,1,5,22,27,7,1,41,28,24,11,6703,431,1380,0.9370919532838062,0.9370772943218096,52094,188,6186,437,827
79,19,1/5,1/5,1/3,22,0,0,2,1,5,5,3,19,1,1,1,2,18,39,3,7134,458,949,0.938459474178552,0.9384155327434981,56091,14,2189,1601,2479
