observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,253006,53712,13698,0.8270393751627072,0.8270390574295222,2001705,1652,234,210,519
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,252878,3907,13826,0.9840247256456818,0.9840243246529339,2000746,818,1193,346,655
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,252902,6355,13802,0.974927559484567,0.9749270391122988,2000863,311,1076,497,850
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,253000,4062,13704,0.9834606027237427,0.983460015009181,2001730,872,209,561,960
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,252881,3854,13823,0.984224065304145,0.9842236104375623,2000719,341,1220,430,743
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,252951,4102,13753,0.9833038427572174,0.9833034307448215,2001369,1870,570,352,673
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,252996,47778,13708,0.8430597755492805,0.8430594100642874,2001649,838,290,292,597
8,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,252909,3957,13795,0.9838414556818731,0.9838410418328692,2001011,908,928,362,676
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,252948,7581,13756,0.9704414881882969,0.970440625594737,2001414,61,525,993,1409
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,252813,3830,13891,0.9843048054575648,0.9843040248991626,2000366,36,1573,740,1275
11,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,252948,20598,13756,0.9251628584792112,0.9251624887087995,2001234,746,705,313,604
12,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,252965,3841,13739,0.9842844444887151,0.9842839106479881,2001433,389,506,540,872
13,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,252952,3944,13752,0.9838962028246994,0.9838956904110658,2001373,1274,566,461,837
14,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,252978,6231,13726,0.9753974126201184,0.975396949794901,2001470,626,469,479,756
15,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,253014,8710,13690,0.9663529185298805,0.9663524826415806,2001747,1629,192,374,712
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,252827,6235,13877,0.9753569664452854,0.9753565513718762,2000173,653,1766,415,678
