observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,39334,1002,1471,0.9749319500770597,0.9748820137485696,322241,3430,5207,13587,21803
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,35856,420,4949,0.9859601865229011,0.9859479812899274,288939,1690,38509,3384,5329
3,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,35800,627,5005,0.9804308199249833,0.9804229915357351,288256,4397,39192,1870,3418
4,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,39875,5039,930,0.8894352270329423,0.8894285277823423,320890,38439,6558,2115,2925
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,34828,283,5977,0.9887329637460797,0.9887234977622403,280634,1225,46814,2235,4133
6,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,38447,449,2358,0.9874870871814945,0.9874509707771483,312711,178,14737,12521,15769
7,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,37618,1269,3187,0.9664136696487843,0.9664021835832255,303063,8158,24385,3873,5015
8,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,36418,620,4387,0.9812644186699446,0.9812543480357947,293868,4074,33580,2403,4397
9,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,33003,191,7802,0.9897073791272295,0.9896962159999048,265725,136,61723,2890,4874
10,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,39616,5264,1189,0.8843153230576917,0.884305873106247,318990,40956,8458,2957,4126
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,38028,639,2777,0.9823879042391377,0.9823582374381042,309258,2299,18190,7468,12953
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,37729,1398,3076,0.9634438322638901,0.9634350190275451,303392,9581,24056,2588,3848
13,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,39064,1001,1741,0.9746555621535038,0.9746286391822888,316164,5102,11284,9086,11755
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,40134,4044,671,0.9098505708612953,0.9098319641221927,324371,30645,3077,5755,8124
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,38021,977,2784,0.9740447720892531,0.9740318247854438,306696,5858,20752,4222,5653
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,33605,535,7200,0.9805008563517374,0.9804939784544547,269795,3277,57653,2161,3003
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,34738,311,6067,0.9878819660494846,0.9878734505576108,279873,1498,47575,1999,3718
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,39578,1950,1227,0.9533756938097787,0.9533371427717957,322920,11697,4528,10046,16832
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,40216,1933,589,0.954747766731589,0.9547138627976974,326594,11096,854,12782,14803
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,39773,995,1032,0.9755758946683172,0.9755213524618932,324906,45,2542,19707,23814
21,20,30,25,30,23,33,28,33,1,1,1,1,20,30,25,30,42,8,31,37,33373,371,7432,0.9848836749473666,0.9848768909541094,268483,2196,58965,1432,2962
22,24,1/5,1/4,1/2,27,0,1,3,1,5,4,2,24,1,1,1,9,4,40,29,31054,921,9751,0.9658617300538699,0.9658455510773779,249584,6362,77864,5618,7064
23,1,12,1/2,27,4,15,3,30,1,1,2,1,1,12,1,27,29,40,4,41,40242,5196,563,0.8874561311041003,0.8874410354594148,325360,39440,2088,4294,6591
24,27,29,1/4,25,30,32,1,28,1,1,4,1,27,29,1,25,8,4,1,1,39856,949,949,0.9767430461953192,0.976675185649668,326986,48,462,28975,29629
25,1,1/3,28,1/5,4,2,31,0,1,3,1,5,1,1,28,1,2,35,8,3,36710,314,4095,0.98949800563995,0.9894708490538423,297705,11,29743,9519,11857
26,20,1/3,3,29,23,2,6,32,1,3,1,1,20,1,3,29,2,29,6,41,38964,1037,1841,0.9736842368308732,0.9736478959730027,316832,4586,10616,11257,15867
27,3,1/4,24,25,6,1,27,28,1,4,1,1,3,1,24,25,42,1,18,19,35295,268,5510,0.9895468859342198,0.9895341333094878,284685,463,42763,4043,5568
28,1/4,20,1/4,4,1,23,1,7,4,1,4,1,1,20,1,4,3,3,42,38,39945,1683,860,0.9599500523172179,0.9599195976385071,324258,8929,3190,10855,13297
29,25,1/2,29,1/2,28,3,32,3,1,2,1,2,25,1,29,1,2,42,39,1,36815,446,3990,0.9861544610129467,0.9861173826649247,299546,18,27902,12153,16189
30,16,27,1/3,11,19,30,2,14,1,1,3,1,16,27,1,11,41,42,10,6,39844,1965,961,0.953458476553115,0.9534410836953178,322522,13055,4926,6124,7594
31,22,10,28,13,25,13,31,16,1,1,1,1,22,10,28,13,42,5,34,42,32993,314,7812,0.9861326312970455,0.98612589311063,265323,1723,62125,1422,2942
32,30,1/5,29,29,33,0,32,32,1,5,1,1,30,1,29,29,42,35,1,17,39629,1165,1176,0.9714366397984813,0.971343700006994,327292,1297,156,28820,40579
33,26,28,1/3,1/4,29,31,2,1,1,1,3,4,26,28,1,1,34,15,1,28,20682,295,20123,0.967644136026006,0.9676224739705613,166311,1920,161137,7445,9458
34,6,29,1/4,25,9,32,1,28,1,1,4,1,6,29,1,25,25,9,42,5,39441,1654,1364,0.9598872696474987,0.9598708616367982,318665,10773,8783,5552,7164
35,1/2,1/5,13,8,3,0,16,11,2,5,1,1,1,1,13,8,4,41,3,5,39112,831,1693,0.9787729002628612,0.9787349561655309,318541,3457,8907,11955,16567
36,30,3,30,1/3,33,6,33,2,1,1,1,3,30,3,30,1,7,35,23,41,35982,431,4823,0.9857855326069209,0.985768577204462,290613,1749,36835,4558,7403
37,27,29,12,28,30,32,15,31,1,1,1,1,27,29,12,28,7,1,17,11,36583,333,4222,0.988895971160557,0.988875074079369,296160,391,31288,5961,9124
38,2,1/5,22,24,5,0,25,27,1,5,1,1,2,1,22,24,30,1,37,30,33424,313,7381,0.9865884889351196,0.9865791970172788,268588,1375,58860,3194,4057
39,28,22,1/5,10,31,25,0,13,1,1,5,1,28,22,1,10,42,31,1,1,39461,832,1344,0.9791024245197161,0.9790438879566951,322949,46,4499,23159,25558
40,1/5,28,1/4,1/5,0,31,1,0,5,1,4,5,1,28,1,1,39,13,21,35,33117,591,7688,0.9783473766866354,0.978335792136367,266223,4067,61225,4078,5058
41,16,24,30,25,19,27,33,28,1,1,1,1,16,24,30,25,34,6,41,18,33397,428,7408,0.9832884827143555,0.983282225499778,268352,2659,59096,1414,2732
42,25,1/4,1/5,1,28,1,0,4,1,4,5,1,25,1,1,1,41,2,10,28,30730,1898,10075,0.9371319553762952,0.937119143202669,247106,14145,80342,4680,5594
43,1/5,29,20,29,0,32,23,32,5,1,1,1,1,29,20,29,1,4,1,40,40269,2061,536,0.9519970685232687,0.9519625553583824,327430,11737,18,11980,15069
44,2,4,30,16,5,7,33,19,1,1,1,1,2,4,30,16,2,42,37,1,39077,610,1728,0.9840752910648775,0.984033996197076,317983,41,9465,14394,18030
45,1/5,12,18,1/5,0,15,21,0,5,1,1,5,1,12,18,1,42,41,3,11,27962,221,12843,0.983350354346548,0.9833389759270673,224075,927,103373,3631,4968
46,30,8,30,4,33,11,33,7,1,1,1,1,30,8,30,4,4,12,8,29,37783,584,3022,0.9835286351226684,0.9834998020061542,306912,1902,20536,7954,12589
47,18,1/4,10,1/3,21,1,13,2,1,4,1,3,18,1,10,1,9,41,42,40,35600,498,5205,0.9836389890180577,0.9836267837850841,287294,2615,40154,3238,5329
48,30,28,2,17,33,31,5,20,1,1,1,1,30,28,2,17,22,1,31,5,35975,512,4830,0.9836394577911355,0.9836271334603734,289660,2621,37788,3500,5381
49,7,30,29,6,10,33,32,9,1,1,1,1,7,30,29,6,4,32,35,2,37793,551,3012,0.9843665105453515,0.9843450683627472,305783,1708,21665,6565,9362
50,2,12,28,29,5,15,31,32,1,1,1,1,2,12,28,29,42,21,7,8,38686,1491,2119,0.9625882940743815,0.9625754063194665,311927,9891,15521,3331,5627
51,27,20,6,9,30,23,9,12,1,1,1,1,27,20,6,9,42,32,36,28,33980,552,6825,0.9804526933018173,0.9804464841844235,273487,3805,53961,1360,2711
52,1/4,1/4,13,1/2,1,1,16,3,4,4,1,2,1,1,13,1,2,36,5,39,38416,916,2389,0.9759800576503006,0.9759516757311771,311719,4693,15729,8799,12392
53,1,30,27,1/3,4,33,30,2,1,1,1,3,1,30,27,1,36,42,14,8,33434,359,7371,0.9852875823234091,0.9852795019965315,269446,1652,58002,2644,3528
54,17,30,13,1/5,20,33,16,0,1,1,1,5,17,30,13,1,1,7,38,2,37268,555,3537,0.9837751540019385,0.9837239877597486,303934,4,23514,18212,22340
55,3,1/2,29,30,6,3,32,33,1,2,1,1,3,1,29,30,16,1,9,1,37224,338,3581,0.9892932867637638,0.9892732691739367,301332,28,26116,6305,8740
56,25,18,26,3,28,21,29,6,1,1,1,1,25,18,26,3,1,42,37,4,37426,855,3379,0.9763776405189677,0.9763258238196255,305315,1701,22133,17872,22624
57,28,15,1/2,27,31,18,3,30,1,1,2,1,28,15,1,27,42,11,13,42,39689,4727,1116,0.895029697513383,0.8950203483369901,319976,37163,7472,2834,4082
58,1/5,1/4,29,1/4,0,1,32,1,5,4,1,4,1,1,29,1,27,6,25,21,34045,282,6760,0.9880556851873781,0.9880458756522259,274011,1139,53437,3038,4283
59,9,1/4,1/3,17,12,1,2,20,1,4,3,1,9,1,1,17,33,42,41,17,39221,3087,1584,0.9276942064821512,0.9276857184743823,316225,23191,11223,2848,3706
60,11,25,15,21,14,28,18,24,1,1,1,1,11,25,15,21,5,7,1,1,39699,871,1106,0.9784175853425905,0.9783404695245719,327323,31,125,24380,33670
61,27,24,14,27,30,27,17,30,1,1,1,1,27,24,14,27,4,25,41,41,36290,628,4515,0.9809237495992782,0.9809017142180737,293868,2559,33580,6440,9621
62,29,5,24,1/3,32,8,27,2,1,1,1,3,29,5,24,1,41,9,17,34,35056,335,5749,0.9875129861788748,0.9875018184708659,282781,1709,44667,2468,4876
63,3,27,20,27,6,30,23,30,1,1,1,1,3,27,20,27,41,33,18,14,37046,1621,3759,0.9570196250247999,0.9570133288744068,297913,11518,29535,1551,2749
64,1/2,26,6,1/3,3,29,9,2,2,1,1,3,1,26,6,1,13,2,28,5,39179,744,1626,0.9809307011605221,0.9808951916968286,318192,2102,9256,12232,15504
