observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,21168,34,1264,0.9972393129375405,0.9972350466707826,168538,169,2358,330,660
2,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,21231,49,1201,0.9966183230186865,0.9966141989608204,168963,105,1933,327,638
3,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,21512,435,920,0.9797465010680112,0.9797437279946185,170684,1901,212,140,429
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,21404,63,1028,0.9961696522900638,0.9961604927446152,170530,220,366,708,1417
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,21184,23,1248,0.9977627581659327,0.9977583626183638,168620,90,2276,349,680
6,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,21349,131,1083,0.993021083732111,0.9930178452477992,169626,376,1270,180,501
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,21253,37,1179,0.997192302855931,0.9971877909556324,169072,197,1824,350,698
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,21402,301,1030,0.9854689150448622,0.9854642156873878,170067,1412,829,377,727
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,21376,64,1056,0.9960931675166264,0.9960856304453538,170197,54,699,692,1166
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,21133,13,1299,0.9981711452824806,0.9981660904027764,168263,10,2633,413,782
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,21330,46,1102,0.9968631292435617,0.9968565359222084,169916,280,980,516,1020
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,21365,133,1067,0.9929505853133477,0.9929476183187387,169789,443,1107,169,459
13,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,21482,348,950,0.9835161917110309,0.9835116280984079,170675,1611,221,308,706
14,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,21351,86,1081,0.9950645246983488,0.9950603877124017,169820,278,1076,368,640
15,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,21379,101,1053,0.9944164948760504,0.9944102053646027,170014,314,882,537,973
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,21139,82,1293,0.9950002871234095,0.9949965896922192,168196,317,2700,296,572
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,21418,135,1014,0.9929264767104083,0.9929185453326628,170582,602,314,562,1227
18,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,21173,27,1259,0.9975669787567658,0.9975627060259672,168577,101,2319,331,661
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,21524,323,908,0.9846880189581265,0.9846781031199344,170879,826,17,949,1534
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,21497,267,935,0.9871260795615264,0.9871132290489281,170823,49,73,995,1988
21,23,30,1,26,26,33,4,29,1,1,1,1,23,30,1,26,40,41,26,9,21260,77,1172,0.9953696117309411,0.9953652678956966,169051,332,1845,338,672
22,2,13,3,1/4,5,16,6,1,1,1,1,4,2,13,3,1,42,15,41,40,21269,105,1163,0.9941033392599072,0.9941006178988389,169256,306,1640,147,421
23,23,28,23,1/5,26,31,26,0,1,1,1,5,23,28,23,1,12,7,39,7,21228,19,1204,0.9979925437338688,0.9979878055921512,168960,62,1936,390,733
24,14,1/4,23,11,17,1,26,14,1,4,1,1,14,1,23,11,14,1,5,35,21330,21,1102,0.99800585983375,0.9979991113754236,169898,4,998,552,1044
25,4,1/3,14,1/4,7,2,17,1,1,3,1,4,4,1,14,1,33,39,1,1,21413,69,1019,0.9959071671085065,0.9958947561506649,170633,0,263,1054,1920
26,1/4,1/4,25,5,1,1,28,8,4,4,1,1,1,1,25,5,30,34,36,39,21182,84,1250,0.9949589747347496,0.9949552708395187,168482,330,2414,303,573
27,22,29,1/4,1/5,25,32,1,0,1,1,4,5,22,29,1,1,31,16,35,27,21125,52,1307,0.9963635677597975,0.9963588490102016,168079,193,2817,410,730
28,17,1/2,2,14,20,3,5,17,1,2,1,1,17,1,2,14,8,3,1,37,21440,85,992,0.995212397078606,0.9952013241771568,170830,256,66,942,1713
29,1/2,9,27,25,3,12,30,28,2,1,1,1,1,9,27,25,5,38,12,6,21500,270,932,0.9869973429113392,0.9869932253175137,170667,820,229,237,637
30,29,3,29,1,32,6,32,4,1,1,1,1,29,3,29,1,37,10,8,1,21288,15,1144,0.9982377970493652,0.9982315463221606,169502,5,1394,510,967
31,1/2,28,9,23,3,31,12,26,2,1,1,1,1,28,9,23,40,42,38,31,21453,362,979,0.9828499487340189,0.9828473889739641,170388,1479,508,117,396
32,1/5,1,6,1/3,0,4,9,2,5,1,1,3,1,1,6,1,1,27,34,19,21305,291,1127,0.9857620882517331,0.9857587786629753,169385,306,1511,214,512
33,15,17,27,20,18,20,30,23,1,1,1,1,15,17,27,20,39,3,4,40,21344,37,1088,0.9972890409409954,0.9972821244176149,170125,100,771,532,1070
34,25,24,1/5,30,28,27,0,33,1,1,5,1,25,24,1,30,4,25,11,35,21488,387,944,0.9818085783971044,0.9818017911545348,170649,1945,247,593,1050
35,30,5,21,1/5,33,8,24,0,1,1,1,5,30,5,21,1,19,13,11,4,21254,11,1178,0.9983869103932012,0.9983811250769157,169134,2,1762,485,895
36,25,21,15,1/5,28,24,18,0,1,1,1,5,25,21,15,1,42,38,38,37,21024,28,1408,0.9973623787927665,0.9973583323033869,167466,142,3430,299,626
37,25,1/5,23,2,28,0,26,5,1,5,1,1,25,1,23,2,8,12,42,11,21259,24,1173,0.99779498525766,0.9977899174498747,169272,87,1624,419,784
38,29,19,27,22,32,22,30,25,1,1,1,1,29,19,27,22,11,1,11,40,21252,14,1180,0.9982470083591211,0.9982413587876869,169151,14,1745,474,874
39,24,1/4,27,29,27,1,30,32,1,4,1,1,24,1,27,29,37,42,6,3,21316,25,1116,0.9978083417825925,0.9978022203361988,169763,85,1133,480,947
40,6,28,1/5,29,9,31,0,32,1,1,5,1,6,28,1,29,38,16,14,31,21507,476,925,0.9779474153759689,0.9779428840835486,170703,2410,193,360,701
41,28,14,11,27,31,17,14,30,1,1,1,1,28,14,11,27,10,27,42,30,21250,41,1182,0.9970056986499838,0.9970009152599824,169083,267,1813,382,740
42,24,1/3,25,2,27,2,28,5,1,3,1,1,24,1,25,2,41,42,30,19,21111,32,1321,0.9972705087397573,0.9972663265055264,168093,175,2803,316,647
43,1/5,3,1/3,2,0,6,2,5,5,1,3,1,1,3,1,2,3,1,36,40,21454,303,978,0.9854619783652189,0.9854551264822439,170437,618,459,545,1060
44,30,28,1/5,13,33,31,0,16,1,1,5,1,30,28,1,13,39,1,37,6,21448,247,984,0.987943660310994,0.9879370928458029,170321,717,575,613,1016
45,13,27,29,28,16,30,32,31,1,1,1,1,13,27,29,28,3,2,7,2,21359,32,1073,0.997533138238599,0.9975264932049214,170115,77,781,561,1028
46,23,25,30,22,26,28,33,25,1,1,1,1,23,25,30,22,3,28,32,42,21314,44,1118,0.996937250110854,0.9969309412072845,169820,259,1076,530,976
47,8,3,13,29,11,6,16,32,1,1,1,1,8,3,13,29,41,40,42,38,21070,95,1362,0.9943209972091058,0.9943175841956994,167856,534,3040,217,528
48,12,29,6,1/5,15,32,9,0,1,1,1,5,12,29,6,1,38,9,37,11,21090,27,1342,0.9974791068565455,0.9974753124647471,168013,93,2883,274,587
49,27,1/5,27,17,30,0,30,20,1,5,1,1,27,1,27,17,20,6,20,3,21169,19,1263,0.9979314454237238,0.9979268624189792,168534,59,2362,371,709
50,1/5,24,1/3,1/3,0,27,2,2,5,1,3,3,1,24,1,1,6,41,3,30,21286,135,1146,0.9927606731333384,0.9927566460360804,169166,418,1730,247,623
51,18,28,26,1/2,21,31,29,3,1,1,1,2,18,28,26,1,40,25,42,39,21034,49,1398,0.9964007545246371,0.9963968373160683,167570,267,3326,277,606
52,20,1/4,29,29,23,1,32,32,1,4,1,1,20,1,29,29,8,15,40,30,21264,28,1168,0.9976166794903073,0.9976117409633328,169303,100,1593,406,764
53,30,3,3,4,33,6,6,7,1,1,1,1,30,3,3,4,41,3,8,39,21325,33,1107,0.9974517621569843,0.997446397003334,169687,213,1209,439,830
54,11,27,11,1/3,14,30,14,2,1,1,1,3,11,27,11,1,29,38,2,7,21403,46,1029,0.9969415883431942,0.9969325710066375,170530,98,366,703,1395
55,26,1/4,1/5,6,29,1,0,9,1,4,5,1,26,1,1,6,6,42,21,19,21462,314,970,0.9849870026875799,0.9849809329535105,170464,1381,432,538,939
56,28,7,23,22,31,10,26,25,1,1,1,1,28,7,23,22,42,35,35,35,21044,40,1388,0.9968281878228181,0.9968240766930331,167639,257,3257,302,636
57,16,29,29,28,19,32,32,31,1,1,1,1,16,29,29,28,6,41,6,19,21333,52,1099,0.9965925345955375,0.9965867945275358,169851,273,1045,434,888
58,1/2,1/5,1,19,3,0,4,22,2,5,1,1,1,1,1,19,10,12,28,35,21398,195,1034,0.990199807679671,0.990196375274143,169944,731,952,298,531
59,1/3,1/4,26,4,2,1,29,7,3,4,1,1,1,1,26,4,33,25,5,11,21390,85,1042,0.995154958514274,0.9951495998246643,170137,275,759,445,829
60,20,21,3,1/3,23,24,6,2,1,1,1,3,20,21,3,1,4,4,11,5,21327,29,1105,0.9976367698404679,0.9976305191132633,169889,72,1007,537,967
61,11,1/5,10,25,14,0,13,28,1,5,1,1,11,1,10,25,7,13,41,4,21296,33,1136,0.9974212053172066,0.9974165188878132,169376,109,1520,380,725
62,21,1,27,19,24,4,30,22,1,1,1,1,21,1,27,19,41,5,29,42,21136,24,1296,0.9976663217757099,0.9976621266133978,168259,100,2637,322,649
63,29,26,30,1/4,32,29,33,1,1,1,1,4,29,26,30,1,36,39,6,31,21316,31,1116,0.997533776036914,0.9975276933747635,169756,139,1140,474,941
64,1/5,28,2,1/5,0,31,5,0,5,1,1,5,1,28,2,1,34,3,23,9,21349,121,1083,0.9934739432385695,0.9934672852768108,169533,115,1363,491,1030
65,28,15,22,13,31,18,25,16,1,1,1,1,28,15,22,13,6,4,1,18,21419,59,1013,0.9963678788002838,0.9963542655309013,170803,102,93,1144,2106
66,5,3,20,25,8,6,23,28,1,1,1,1,5,3,20,25,5,42,16,23,21356,107,1076,0.9941170391734994,0.9941128504752278,169925,482,971,308,648
67,29,1/2,6,1/3,32,3,9,2,1,2,1,3,29,1,6,1,6,4,5,42,21334,27,1098,0.9977355229202308,0.9977289425269585,169953,75,943,537,1018
68,17,29,24,30,20,32,27,33,1,1,1,1,17,29,24,30,37,29,39,2,21057,23,1375,0.9976292270256748,0.9976250965037682,167724,69,3172,314,639
69,4,6,12,1/5,7,9,15,0,1,1,1,5,4,6,12,1,29,5,37,12,21223,59,1209,0.9961511382304623,0.9961476217924072,168937,130,1959,248,544
70,1/5,29,19,23,0,32,22,26,5,1,1,1,1,29,19,23,36,5,2,36,21533,358,899,0.983160303572945,0.9831548673148488,170798,940,98,357,841
71,23,28,3,29,26,31,6,32,1,1,1,1,23,28,3,29,39,38,42,7,21035,29,1397,0.9973278157501461,0.997323775724807,167569,143,3327,296,625
72,27,2,19,12,30,5,22,15,1,1,1,1,27,2,19,12,37,41,1,42,21425,77,1007,0.9955577446725462,0.9955441831154881,170804,264,92,1133,2098
73,17,28,1/5,1/3,20,31,0,2,1,1,5,3,17,28,1,1,38,20,9,26,21157,92,1275,0.9945629742589784,0.99455727297522,168266,335,2630,548,882
74,11,1/4,28,1/3,14,1,31,2,1,4,1,3,11,1,28,1,24,1,28,29,21176,19,1256,0.9979387117844046,0.9979339930348087,168603,5,2293,386,730
75,29,25,23,4,32,28,26,7,1,1,1,1,29,25,23,4,3,17,2,1,21389,29,1043,0.997701308127331,0.9976905519638684,170516,5,380,890,1664
76,23,11,16,11,26,14,19,14,1,1,1,1,23,11,16,11,10,37,42,41,21259,38,1173,0.9971528680047094,0.9971481557191539,169143,258,1753,373,729
77,26,1/5,8,18,29,0,11,21,1,5,1,1,26,1,8,18,40,1,35,33,21045,14,1387,0.9980338093734084,0.9980290001272447,167677,11,3219,388,744
78,24,26,25,30,27,29,28,33,1,1,1,1,24,26,25,30,6,3,34,6,21281,23,1151,0.9978636967237098,0.9978583444981406,169460,93,1436,452,828
79,16,26,29,1/5,19,29,32,0,1,1,1,5,16,26,29,1,1,33,5,26,21395,60,1037,0.9962960789846954,0.9962863829238817,170478,138,418,880,1500
80,23,10,14,30,26,13,17,33,1,1,1,1,23,10,14,30,38,37,3,2,21373,28,1059,0.9977303303858438,0.997722289119409,170256,66,640,642,1244
81,30,8,27,1/2,33,11,30,3,1,1,1,2,30,8,27,1,10,41,34,42,21244,36,1188,0.9972285645616775,0.9972236906751085,169061,248,1835,394,754
82,3,1/5,24,23,6,0,27,26,1,5,1,1,3,1,24,23,41,34,3,42,21377,86,1055,0.9950945844920349,0.9950876744326951,170328,293,568,528,1069
83,14,25,22,4,17,28,25,7,1,1,1,1,14,25,22,4,1,3,3,36,21409,56,1023,0.996493259741747,0.9964828267803114,170607,106,289,930,1614
84,24,9,10,30,27,12,13,33,1,1,1,1,24,9,10,30,29,26,42,1,21145,13,1287,0.9981834901536482,0.998178364169498,168342,6,2554,410,793
85,13,27,1/5,1/3,16,30,0,2,1,1,5,3,13,27,1,1,11,37,25,2,21227,37,1205,0.9971645145288097,0.9971585740755512,168756,2,2140,568,919
86,15,17,1/3,1/5,18,20,2,0,1,1,3,5,15,17,1,1,4,37,36,34,21281,61,1151,0.9961242850054765,0.9961185901857585,169392,192,1504,486,881
87,30,1/3,10,30,33,2,13,33,1,3,1,1,30,1,10,30,29,33,7,36,21320,32,1112,0.9974922334094397,0.997486564445884,169662,170,1234,449,877
88,1/2,1/5,21,4,3,0,24,7,2,5,1,1,1,1,21,4,15,1,9,35,21324,63,1108,0.9960808860280552,0.9960754626980401,169632,137,1264,512,839
89,28,27,13,20,31,30,16,23,1,1,1,1,28,27,13,20,40,33,41,5,21014,26,1418,0.9974444461321142,0.9974403220742482,167416,111,3480,309,638
90,20,21,29,30,23,24,32,33,1,1,1,1,20,21,29,30,3,9,12,8,21333,41,1099,0.9970946700094789,0.9970882253610581,169920,153,976,542,997
91,29,1/3,15,29,32,2,18,32,1,3,1,1,29,1,15,29,6,8,38,13,21280,23,1152,0.9978626607107521,0.9978572309166964,169442,85,1454,460,840
92,7,1/3,30,1/3,10,2,33,2,1,3,1,3,7,1,30,1,40,39,13,37,21271,79,1161,0.9952909556777113,0.9952868962602507,169297,350,1599,304,628
93,12,23,10,3,15,26,13,6,1,1,1,1,12,23,10,3,39,6,32,5,21127,31,1305,0.9973337714105521,0.9973300093389564,168294,116,2602,275,582
94,24,30,2,1/4,27,33,5,1,1,1,1,4,24,30,2,1,7,41,11,9,21310,28,1122,0.9976647808882821,0.9976593187740238,169655,112,1241,449,845
95,25,30,18,29,28,33,21,32,1,1,1,1,25,30,18,29,33,3,8,39,21300,23,1132,0.9978833628950424,0.9978778619965408,169544,91,1352,440,851
96,29,5,24,1/5,32,8,27,0,1,1,1,5,29,5,24,1,1,40,29,39,21355,50,1077,0.9967076675780401,0.9966981719024832,170180,137,716,899,1469
97,26,1/5,4,29,29,0,7,32,1,5,1,1,26,1,4,29,23,5,18,39,21225,17,1207,0.9980814265158142,0.9980762358912586,168873,22,2023,432,803
98,5,1,6,22,8,4,9,25,1,1,1,1,5,1,6,22,2,38,21,1,21385,62,1047,0.9961941052886564,0.9961865682173838,170266,11,630,647,1166
99,11,29,1,1/2,14,32,4,3,1,1,1,2,11,29,1,1,40,40,42,11,21135,51,1297,0.9964207115957252,0.9964170012364538,168227,192,2669,266,574
100,30,29,28,4,33,32,31,7,1,1,1,1,30,29,28,4,18,14,1,1,21417,44,1015,0.9970475437631108,0.9970331483448227,170798,5,98,1250,2227
101,6,29,10,1/5,9,32,13,0,1,1,1,5,6,29,10,1,3,27,26,42,21360,87,1072,0.995029510823741,0.9950245399765639,170031,296,865,392,769
102,11,1,8,30,14,4,11,33,1,1,1,1,11,1,8,30,37,37,5,25,21356,70,1076,0.9957978412878412,0.9957922757489341,169999,356,897,402,861
103,20,18,5,22,23,21,8,25,1,1,1,1,20,18,5,22,4,39,40,4,21306,34,1126,0.997385992966898,0.99738005897768,169724,105,1172,508,918
104,28,30,25,25,31,33,28,28,1,1,1,1,28,30,25,25,28,5,9,34,21270,28,1162,0.9976229651211876,0.9976177357123888,169331,108,1565,417,809
105,27,10,30,1/5,30,13,33,0,1,1,1,5,27,10,30,1,22,12,35,7,21152,19,1280,0.9979137789662496,0.9979092476738293,168383,58,2513,365,701
106,28,30,8,5,31,33,11,8,1,1,1,1,28,30,8,5,8,15,22,29,21272,40,1160,0.9970751462426879,0.9970700913629836,169355,220,1541,410,782
107,12,11,21,29,15,14,24,32,1,1,1,1,12,11,21,29,39,1,27,42,21174,19,1258,0.9979366361608049,0.9979320596201008,168594,14,2302,364,708
108,19,1/4,27,18,22,1,30,21,1,4,1,1,19,1,27,18,39,38,39,6,21032,30,1400,0.9972782535302094,0.9972742781452758,167563,132,3333,290,615
109,11,12,26,1/4,14,15,29,1,1,1,1,4,11,12,26,1,30,11,6,1,21308,21,1124,0.9979832383029228,0.9979768970791506,169758,0,1138,498,981
110,21,1/4,3,29,24,1,6,32,1,4,1,1,21,1,3,29,17,35,3,38,21387,51,1045,0.9966967845844976,0.996689687067982,170349,255,547,561,1098
111,23,23,11,23,26,26,14,26,1,1,1,1,23,23,11,23,35,37,41,41,21066,36,1366,0.9970371912952113,0.9970331512698722,167811,249,3085,293,625
112,12,1/3,30,10,15,2,33,13,1,3,1,1,12,1,30,10,37,24,8,38,21300,38,1132,0.9971966134641206,0.9971917460415921,169602,168,1294,367,753
113,19,1/5,12,14,22,0,15,17,1,5,1,1,19,1,12,14,2,10,19,11,21349,34,1083,0.9974313188481768,0.9974239175217557,170036,68,860,673,1145
114,11,14,27,30,14,17,30,33,1,1,1,1,11,14,27,30,33,2,29,5,21175,25,1257,0.9976612088591373,0.9976572464022848,168589,76,2307,303,613
115,30,25,14,1/2,33,28,17,3,1,1,1,2,30,25,14,1,37,18,3,1,21362,19,1070,0.9981300830482356,0.9981212467048141,170222,2,674,735,1367
116,29,1,3,22,32,4,6,25,1,1,1,1,29,1,3,22,36,42,39,39,21059,42,1373,0.9967521187904743,0.9967480205887704,167717,269,3179,301,634
117,11,11,6,10,14,14,9,13,1,1,1,1,11,11,6,10,13,29,3,40,21383,76,1049,0.9955555472785295,0.9955486436832302,170312,380,584,510,1068
118,30,30,19,1,33,33,22,4,1,1,1,1,30,30,19,1,3,15,15,23,21324,40,1108,0.9971307473898032,0.9971241217482472,169861,210,1035,569,1025
119,15,12,30,28,18,15,33,31,1,1,1,1,15,12,30,28,36,2,4,7,21345,34,1087,0.9974271100174485,0.9974201159255816,170128,74,768,544,1082
120,20,1/5,28,1/4,23,0,31,1,1,5,1,4,20,1,28,1,31,35,29,1,21142,12,1290,0.9982265920538481,0.9982215953505088,168338,0,2558,401,773
121,17,12,18,24,20,15,21,27,1,1,1,1,17,12,18,24,33,41,42,15,21097,43,1335,0.9967475895121575,0.9967436141272239,168067,224,2829,290,615
122,29,29,1,1/5,32,32,4,0,1,1,1,5,29,29,1,1,42,18,35,37,21075,27,1357,0.9974631542080402,0.9974589073334038,167819,154,3077,333,657
123,7,1/2,26,1/5,10,3,29,0,1,2,1,5,7,1,26,1,25,2,26,39,21202,38,1230,0.9970917764618243,0.9970870124639446,168798,7,2098,397,737
124,30,1/3,6,14,33,2,9,17,1,3,1,1,30,1,6,14,5,41,20,42,21301,34,1131,0.9973807109070868,0.9973749579110041,169636,185,1260,486,890
125,20,1/4,22,30,23,1,25,33,1,4,1,1,20,1,22,30,8,8,7,3,21303,22,1129,0.9979322757053172,0.9979265744215587,169648,65,1248,461,882
126,15,1/5,21,1,18,0,24,4,1,5,1,1,15,1,21,1,30,33,41,37,21139,31,1293,0.9973465740420961,0.9973425728010004,168323,134,2573,298,619
127,27,30,6,25,30,33,9,28,1,1,1,1,27,30,6,25,42,33,1,38,21430,84,1002,0.9952462247519547,0.9952335552324915,170814,337,82,1042,1960
128,8,27,1/5,1/5,11,30,0,0,1,1,5,5,8,27,1,1,34,24,26,10,21058,44,1374,0.9966585575949187,0.9966540263024984,167667,73,3229,433,701
129,21,28,30,6,24,31,33,9,1,1,1,1,21,28,30,6,1,32,2,2,21416,48,1016,0.9968645500517608,0.9968528759945411,170688,68,208,1032,1806
130,30,16,2,30,33,19,5,33,1,1,1,1,30,16,2,30,15,1,13,8,21272,19,1160,0.9980378927850568,0.998032281997866,169362,53,1534,479,868
131,13,2,10,12,16,5,13,15,1,1,1,1,13,2,10,12,42,11,42,35,21039,42,1393,0.9967301528044791,0.9967264165890455,167612,187,3284,263,578
132,15,24,26,30,18,27,29,33,1,1,1,1,15,24,26,30,38,39,21,40,21190,56,1242,0.9962519487797676,0.9962479281465503,168699,326,2197,295,622
133,25,3,15,17,28,6,18,20,1,1,1,1,25,3,15,17,2,29,3,42,21384,54,1048,0.996556975805625,0.9965480360375547,170435,259,461,741,1383
134,23,1/5,3,1/5,26,0,6,0,1,5,1,5,23,1,3,1,9,24,35,5,21258,15,1174,0.9982071902096995,0.9982014759978599,169257,3,1639,479,884
135,29,23,13,13,32,26,16,16,1,1,1,1,29,23,13,13,42,3,1,10,21425,58,1007,0.9964198645892147,0.9964061802153863,170805,99,91,1168,2117
136,13,1/4,29,30,16,1,32,33,1,4,1,1,13,1,29,30,9,35,23,40,21297,43,1135,0.9969646809450871,0.9969601625807478,169421,180,1475,358,699
137,25,29,15,29,28,32,18,32,1,1,1,1,25,29,15,29,39,24,6,31,21329,46,1103,0.9968620508185121,0.9968560392608076,169782,264,1114,461,930
138,17,1/3,18,1/5,20,2,21,0,1,3,1,5,17,1,18,1,13,2,37,14,21232,16,1200,0.9981346090200681,0.9981294636437963,169000,5,1896,433,796
139,29,27,8,8,32,30,11,11,1,1,1,1,29,27,8,8,8,39,34,2,21270,22,1162,0.9978981740386961,0.9978929123096945,169347,67,1549,442,814
140,13,1/2,30,4,16,3,33,7,1,2,1,1,13,1,30,4,39,40,3,7,21361,41,1071,0.9971245320362608,0.9971169691088262,170267,139,629,582,1170
141,29,1/5,14,1/3,32,0,17,2,1,5,1,3,29,1,14,1,16,32,28,19,21200,28,1232,0.9975494163394829,0.9975449302953464,168760,132,2136,360,694
142,13,2,17,21,16,5,20,24,1,1,1,1,13,2,17,21,36,1,42,38,21085,17,1347,0.9979364463334061,0.9979318439365398,167950,10,2946,361,712
143,27,30,26,24,30,33,29,27,1,1,1,1,27,30,26,24,42,11,3,7,21362,38,1070,0.997262453409422,0.9972543151823791,170243,139,653,642,1259
144,18,6,5,29,21,9,8,32,1,1,1,1,18,6,5,29,5,24,1,5,21424,66,1008,0.996055575289044,0.9960430932267564,170812,151,84,1035,1931
145,8,19,3,1/5,11,22,6,0,1,1,1,5,8,19,3,1,18,11,2,36,21416,86,1016,0.9951395407191249,0.995131867903001,170551,299,345,587,1187
146,29,22,6,1/4,32,25,9,1,1,1,1,4,29,22,6,1,1,36,37,26,21355,50,1077,0.9967076675780401,0.9966981654384427,170180,130,716,900,1470
147,16,1/3,13,1/5,19,2,16,0,1,3,1,5,16,1,13,1,39,22,40,11,21043,26,1389,0.9974753818923355,0.9974714452916452,167638,90,3258,289,609
148,24,27,20,24,27,30,23,27,1,1,1,1,24,27,20,24,3,12,11,39,21328,37,1104,0.9972720905026293,0.9972654777891544,169934,174,962,552,1023
149,26,2,17,30,29,5,20,33,1,1,1,1,26,2,17,30,23,37,2,4,21400,43,1032,0.9970749362384554,0.9970649557598579,170524,98,372,808,1544
150,8,16,14,1/4,11,19,17,1,1,1,1,4,8,16,14,1,9,6,6,1,21332,42,1100,0.9970479304665166,0.9970415504585012,169808,0,1088,517,987
