observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,147705,3438,1665,0.9774826590387218,0.9774576986718645,1187954,10510,5258,16918,26388
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,143443,2705,5927,0.9810587936293246,0.9810531522912945,1149283,13582,43929,3585,5964
3,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,148066,32875,1304,0.8211765564536283,0.8211723793663143,1184765,59769,8447,2734,4416
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,143400,2034,5970,0.9854808569312704,0.9854696158747397,1149272,3981,43940,7449,11884
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,141617,1431,7753,0.9891220807289344,0.9891140547810496,1135425,2870,57787,5037,8485
6,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,138587,982,10783,0.9915714246669161,0.9915609951912087,1111028,601,82184,6584,11026
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,144262,2825,5108,0.9804893080842828,0.9804824039718949,1156778,12585,36434,4318,7299
8,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,148111,15823,1259,0.9050876201519994,0.9050820327301778,1185311,68776,7901,4283,5907
9,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,143535,15373,5835,0.9043441027578353,0.9043368713646026,1149638,14700,43574,5202,7645
10,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,146089,2666,3281,0.9819967156760929,0.9819768224869397,1174493,1058,18719,16732,21031
11,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,145650,9482,3720,0.9395758239302641,0.9395697115348332,1166565,18732,26647,4078,6462
12,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,146088,3044,3282,0.979557286882188,0.9795395446659859,1173399,10487,19813,11368,18757
13,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,148622,10842,748,0.9331911442595391,0.9331831107444671,1190475,58788,2737,5793,8493
14,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,146619,4166,2751,0.9725537903124704,0.9725453472233933,1175138,13367,18074,6133,8926
15,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,147658,8352,1712,0.9472713135724788,0.9472519340061544,1183871,8455,9341,15379,20488
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,138385,2643,10985,0.9800995560460992,0.9800951670775446,1107975,9412,85237,3155,4640
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,148069,5754,1301,0.9631510127171659,0.9631323917613545,1189132,29867,4080,11444,19686
18,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,141044,1536,8326,0.9882858099803946,0.9882787781717234,1130488,3518,62724,4451,7434
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,148554,12808,816,0.921996080489487,0.9219747760199279,1191288,13692,1924,17165,22523
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,148134,21993,1236,0.872855910011239,0.8728253262784212,1189329,822,3883,21918,32333
21,28,9,8,29,31,12,11,32,1,1,1,1,28,9,8,29,33,41,41,42,139638,2887,9732,0.9788037310592387,0.9787993052006467,1118336,14430,74876,2694,4679
22,28,1,1/4,1/3,31,4,1,2,1,1,4,3,28,1,1,1,7,2,35,13,117090,1224,32280,0.9844863317075729,0.9844752788848229,938272,3659,254940,9451,11685
23,1/5,7,30,26,0,10,33,29,5,1,1,1,1,7,30,26,1,29,29,9,146905,24371,2465,0.859908821158399,0.8599009446624606,1176318,26989,16894,5288,8327
24,12,30,2,7,15,33,5,10,1,1,1,1,12,30,2,7,40,1,6,35,147242,3794,2128,0.975095276454696,0.9750811778391129,1181677,15732,11535,10212,14905
25,4,1/3,14,1/4,7,2,17,1,1,3,1,4,4,1,14,1,33,39,1,1,145899,2715,3471,0.98163132500549,0.9816026122596982,1172965,42,20247,22309,30355
26,25,1/5,30,15,28,0,33,18,1,5,1,1,25,1,30,15,17,1,14,25,141918,1127,7452,0.9912447658926531,0.9912329071644702,1139283,630,53929,8226,12537
