observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,29840,6150,1434,0.8312978051954999,0.8312940882079861,237866,13595,1130,508,1055
2,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,29462,670,1812,0.9770239205381291,0.9770050784061638,236559,1957,2437,3229,5348
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,28794,859,2480,0.96997111713427,0.9699620836214877,230146,1104,8850,1542,2564
4,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,28443,428,2831,0.9835381924585376,0.9835319669448535,227119,2279,11877,1060,1767
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,27976,239,3298,0.9893839974140778,0.9893768347262907,223262,584,15734,1227,2033
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,29755,2064,1519,0.9354535479956364,0.9354464029239038,237236,12001,1760,1421,2028
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,28696,454,2578,0.9829928803582292,0.9829858163203476,229071,2197,9925,1209,2005
8,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,29121,1338,2153,0.9555607327901612,0.9555451707675563,233292,73,5704,3301,4417
9,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,28912,3259,2362,0.8991990186937107,0.8991923069769204,230605,2636,8391,1161,1905
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,27354,177,3920,0.9908765747562294,0.9908664102927439,218603,200,20393,1690,2885
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,29010,453,2264,0.9834158326898135,0.9834016306266211,232500,1450,6496,2455,4031
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,29501,3044,1773,0.9071765379503671,0.907171207332255,235203,4209,3793,883,1513
13,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,29583,795,1691,0.9732556211491542,0.9732401718692986,236401,2534,2595,2971,4385
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,29900,4044,1374,0.8822505355467298,0.8822445777970751,238492,12637,504,1002,1691
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,29346,2021,1928,0.9356247094704504,0.9356184064461261,234262,2604,4734,1323,1789
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,27642,1436,3632,0.9491819220710723,0.9491774652092667,220499,1665,18497,873,1265
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,29641,2382,1633,0.9260491589295433,0.9260373103712413,237361,7396,1635,1848,3363
18,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,29863,2286,1411,0.9293994989340679,0.9293827249269088,238840,4818,156,3467,4761
19,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,27958,262,3316,0.988576108125998,0.988569512675168,223049,669,15947,1137,1872
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,29719,4355,1555,0.8736257275559998,0.8735927608714822,238472,588,524,5615,9357
