observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,10922,43,259,0.9956861500986388,0.9956806307866904,87060,349,1936,191,489
2,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,11137,54,44,0.9951924795367624,0.9951830210839756,88775,413,221,447,838
3,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,11156,141,25,0.9877216530260263,0.9877174317117754,88864,1146,132,110,374
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,10978,17,203,0.9981161444240785,0.9981097673049562,87546,155,1450,249,565
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,10910,18,271,0.9978908009285598,0.9978849204346434,87023,188,1973,218,521
6,3,25,20,1/2,6,28,23,3,1,1,1,2,3,25,20,1,29,5,29,30,10985,36,196,0.996444186426226,0.9964389492876902,87679,339,1317,188,464
7,29,1/5,1/3,28,32,0,2,31,1,5,3,1,29,1,1,28,20,17,37,38,11051,111,130,0.9900218412202416,0.9900151367799608,88161,793,835,289,594
8,4,1/4,28,24,7,1,31,27,1,4,1,1,4,1,28,24,37,41,1,41,11150,63,31,0.9944382806117533,0.9944248265834457,88977,402,19,663,1192
9,28,13,24,2,31,16,27,5,1,1,1,1,28,13,24,2,42,42,36,2,10788,10,393,0.9983656713241026,0.9983596215261388,86052,122,2944,215,536
10,17,15,1/3,26,20,18,2,29,1,1,3,1,17,15,1,26,5,42,6,3,11147,37,34,0.9966970495192213,0.9966871057281651,88855,278,141,512,881
11,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,11040,46,141,0.9956799754687543,0.9956749527820119,88071,380,925,178,445
12,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,11088,38,93,0.9964860565646035,0.9964778396748317,88323,352,673,377,728
13,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,11102,44,79,0.9959898445279769,0.995983930173251,88436,358,560,258,524
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,11143,152,38,0.9867419009769124,0.9867351852496951,88813,1166,183,276,595
15,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,11089,19,92,0.9981583263272923,0.998150233593822,88330,206,666,380,717
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,10939,39,242,0.9960790598485167,0.9960739694401554,87266,337,1730,196,451
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,10904,20,277,0.9976997275174442,0.9976940276145119,86925,206,2071,204,505
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,11137,122,44,0.9893012976307225,0.9892934870706647,88807,895,189,329,692
19,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,11152,24,29,0.9978436127092635,0.9978292895868454,88926,14,70,628,1269
20,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,11160,75,21,0.9934199282173989,0.9934087992980102,88991,520,5,614,986
