observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,41021,8480,453,0.8313866550899606,0.8313825188464963,330325,66894,3229,622,1261
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,36969,3374,4505,0.9158536398053592,0.9158459774225418,297996,25869,35558,1367,2336
3,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,27345,1085,14129,0.953090319990185,0.9530778128559031,222841,6805,110713,2051,3813
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,33912,2117,7562,0.9384053860351598,0.9383889197844135,274699,14077,58855,2749,5020
5,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,35446,2273,6028,0.9378712550371618,0.9377644835375522,299088,9371,34466,20774,32551
6,27,20,1/2,22,30,23,3,25,1,1,2,1,27,20,1,22,42,10,41,42,40621,8664,853,0.8268269637471153,0.8268204166083724,326720,68972,6834,1394,1996
7,1,1/5,11,22,4,0,14,25,1,5,1,1,1,1,11,22,3,40,41,42,30534,2001,10940,0.9333681402760549,0.9333626099774974,247672,14920,85882,1124,1686
8,11,1/4,27,5,14,1,30,8,1,4,1,1,11,1,27,5,10,25,5,14,33922,1855,7552,0.9451410300203896,0.9451073004473969,279711,11137,53843,5669,10283
9,1/2,25,1/5,26,3,28,0,29,2,1,5,1,1,25,1,26,1,3,22,8,40836,6434,638,0.8660120184722085,0.8659767308376413,331820,46136,1734,6390,10758
10,7,30,15,2,10,33,18,5,1,1,1,1,7,30,15,2,38,42,28,1,32512,1670,8962,0.9471029927895258,0.9470202383990723,268668,2861,64886,12745,25229
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,28380,1142,13094,0.9535957076768823,0.9535220753269318,241245,1899,92309,14441,22448
12,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,39287,4378,2187,0.9006404686897513,0.9006319305123226,316239,33581,17315,1481,2603
13,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,40507,5624,967,0.879862791189686,0.8798051953935001,329124,39252,4430,12608,17559
14,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,41027,8229,447,0.835574321654668,0.8355637563571275,330721,64490,2833,2040,3221
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,37410,3148,4064,0.9219663094139636,0.9219567445559604,302544,23893,31010,1888,2916
16,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,29255,1235,12219,0.9526312224679647,0.95262016187085,237579,8404,95975,1827,3372
17,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,38164,3638,3310,0.9131139664996947,0.9130659421217713,313225,25240,20329,7611,14641
18,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,40871,6739,603,0.8606725843215277,0.8606310710009213,332291,48390,1263,8228,12656
19,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,23319,1158,18155,0.9396404230336214,0.9396341219046007,189718,8119,143836,1165,1921
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,39366,4462,2108,0.8991588116467174,0.8989523012454264,331884,10706,1670,38176,62958
21,22,1/5,22,30,25,0,25,33,1,5,1,1,22,1,22,30,38,41,13,7,24217,772,17257,0.9564867074533842,0.9564637563863579,200023,3406,133531,3764,6997
22,3,28,25,1/2,6,31,28,3,1,1,1,2,3,28,25,1,23,15,17,24,37268,3147,4206,0.9216498690034518,0.9216447290403205,299901,24367,33653,975,1567
23,30,1,4,1/4,33,4,7,1,1,1,1,4,30,1,4,1,11,41,41,41,33094,2029,8380,0.9388363467595195,0.9388156327409015,268204,14831,65350,4200,6315
24,8,1/5,29,17,11,0,32,20,1,5,1,1,8,1,29,17,4,1,35,42,29572,1115,11902,0.9569377990430622,0.9568899517921389,245310,1647,88244,10583,14587
25,4,1/5,6,3,7,0,9,6,1,5,1,1,4,1,6,3,38,3,42,7,30004,1215,11470,0.9548085704920745,0.9547721544929142,246240,4224,87314,7281,11102
26,20,10,30,26,23,13,33,29,1,1,1,1,20,10,30,26,42,42,33,5,18901,577,22573,0.9489444680970704,0.9489375896652348,153719,3767,179835,934,2097
27,1/3,7,15,29,2,10,18,32,3,1,1,1,1,7,15,29,42,4,41,40,40338,5249,1136,0.8864571031501335,0.8864424442508138,325946,39315,7608,2498,4469
28,30,24,1/4,1/3,33,27,1,2,1,1,4,3,30,24,1,1,10,23,41,18,18440,1284,23034,0.914727913090927,0.9147048767405305,149798,9353,183756,5338,7023
29,1/4,9,1/3,8,1,12,2,11,4,1,3,1,1,9,1,8,25,37,14,9,40937,6784,537,0.860092200909067,0.8600830788685639,330083,51831,3471,1424,2781
30,9,3,25,1/5,12,6,28,0,1,1,1,5,9,3,25,1,20,2,10,27,32767,1684,8707,0.9472569241078579,0.9472365118611659,266874,10359,66680,3315,6223
31,29,6,29,24,32,9,32,27,1,1,1,1,29,6,29,24,17,1,13,40,22246,632,19228,0.9568204965866548,0.9567891713486814,184743,1118,148811,5232,9550
32,29,28,24,1/3,32,31,27,2,1,1,1,3,29,28,24,1,41,40,27,33,17509,443,23965,0.9504169914517295,0.9504066590433927,143615,2084,189939,1497,3150
33,18,1/2,12,17,21,3,15,20,1,2,1,1,18,1,12,17,1,39,39,42,31613,1920,9861,0.9382989698983314,0.9382065817671524,264989,6795,68565,24917,28166
34,19,28,28,1/5,22,31,31,0,1,1,1,5,19,28,28,1,1,8,41,16,30293,1736,11181,0.9402537098941893,0.9401577693826203,255093,5087,78461,26182,29249
35,15,1/4,13,30,18,1,16,33,1,4,1,1,15,1,13,30,33,41,3,5,34615,1944,6859,0.944286676869273,0.9442147895482861,288819,8739,44735,13702,21916
36,30,1,30,1/5,33,4,33,0,1,1,1,5,30,1,30,1,21,37,6,26,27146,1027,14328,0.9545335950394915,0.9544723714199341,229806,1800,103748,11533,18665
37,10,1/2,1/2,1/3,13,3,3,2,1,2,2,3,10,1,1,1,38,3,39,42,31172,2330,10302,0.9260447562552285,0.9260318915868169,251496,17401,82058,2642,3922
38,22,29,17,28,25,32,20,31,1,1,1,1,22,29,17,28,5,4,41,1,25955,913,15519,0.9556290620218173,0.9555736901535211,217298,871,116256,10532,16881
39,14,20,10,16,17,23,13,19,1,1,1,1,14,20,10,16,42,39,22,9,29065,1468,12409,0.9451473116062725,0.9451387570281956,236471,10439,97083,1328,2608
40,11,1/4,1/5,22,14,1,0,25,1,4,5,1,11,1,1,22,4,41,14,37,41096,9305,378,0.8182793116864447,0.8182543105383994,331149,73014,2405,5610,7622
41,30,4,20,18,33,7,23,21,1,1,1,1,30,4,20,18,11,2,42,40,20946,610,20528,0.9540701710275318,0.954049099474784,172205,2039,161349,3966,6424
42,8,1/3,28,26,11,2,31,29,1,3,1,1,8,1,28,26,37,35,5,42,34931,2205,6543,0.93843121788927,0.9384021198593159,286434,14581,47120,4628,8871
43,18,19,25,1/4,21,22,28,1,1,1,1,4,18,19,25,1,19,24,24,8,23798,756,17676,0.956034773665858,0.9560201114864086,195031,3934,138523,2294,4470
44,2,29,14,12,5,32,17,15,1,1,1,1,2,29,14,12,40,41,2,1,38728,3242,2746,0.9229725014823612,0.9228148092503642,324160,6342,9394,28812,48075
45,24,1/4,21,28,27,1,24,31,1,4,1,1,24,1,21,28,1,11,1,1,35274,2673,6200,0.9278348888434127,0.9275597614103765,310606,802,22948,64940,83877
46,10,8,24,28,13,11,27,31,1,1,1,1,10,8,24,28,30,4,37,41,30123,1765,11351,0.9390044551511049,0.9389986198004918,243987,13016,89567,884,1779
47,28,29,18,6,31,32,21,9,1,1,1,1,28,29,18,6,41,40,29,3,19535,538,21939,0.9528794177070214,0.9528697872464257,160512,3152,173042,1406,2936
48,18,1/4,10,1/3,21,1,13,2,1,4,1,3,18,1,10,1,9,41,42,40,27284,1120,14190,0.9518094985592387,0.9517898932244359,224218,6382,109336,3738,5977
49,28,20,10,21,31,23,13,24,1,1,1,1,28,20,10,21,16,18,5,27,33098,1678,8376,0.9480961880219857,0.948049498656822,274878,8530,58676,8905,14234
50,1/4,8,9,1/3,1,11,12,2,4,1,1,3,1,8,9,1,1,38,1,6,32134,1815,9340,0.9423598586489538,0.9423223930083117,262759,9710,70795,6072,11422
