observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,20192,4568,458,0.8182252875053692,0.8181925174007009,163281,35542,3144,1544,2273
2,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,14881,237,5769,0.9771719602013048,0.9771295882973805,121259,1024,45166,1443,2939
3,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,18777,631,1873,0.9662509442778308,0.9660064732418168,157567,1978,8858,10336,16957
4,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,16570,605,4080,0.9608860796195889,0.9608491573855127,134088,4150,32337,1329,2561
5,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,16134,425,4516,0.9695435681655111,0.9694948959818948,131673,2268,34752,1853,3376
6,7,30,15,2,10,33,18,5,1,1,1,1,7,30,15,2,38,42,28,1,15326,269,5324,0.976420894362294,0.9763364965652293,125251,660,41174,2543,5854
7,11,1/4,27,5,14,1,30,8,1,4,1,1,11,1,27,5,10,25,5,14,17913,467,2737,0.9721905630271256,0.9720757451153007,147498,1976,18927,4630,7964
8,1,1/5,11,22,4,0,14,25,1,5,1,1,1,1,11,22,3,40,41,42,15924,779,4726,0.9488771858319122,0.9488126836549277,130185,4909,36240,3499,4474
9,27,20,1/2,22,30,23,3,25,1,1,2,1,27,20,1,22,42,10,41,42,19396,3520,1254,0.8480727289262934,0.8480383296875171,156620,27510,9805,1519,2386
10,1/2,25,1/5,26,3,28,0,29,2,1,5,1,1,25,1,26,1,3,22,8,20183,2161,467,0.9046567208065218,0.9045096950575526,165697,14311,728,7425,10198
11,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,17318,353,3332,0.9767305976454239,0.9765867869133228,143693,860,22732,5680,9975
