observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,3218,32,182,0.9892407008914849,0.989224124002938,26966,252,1379,198,517
2,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,3387,276,13,0.9259816170640888,0.9259687916184045,28246,2108,99,128,400
3,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,3240,19,160,0.9933104831045246,0.9932922389080389,27037,111,1308,247,569
4,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,3348,35,52,0.989554700384827,0.9895219313711038,28128,225,217,549,1022
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,3143,16,257,0.9934193474976452,0.9934020010823572,26331,112,2014,210,541
6,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,3333,77,67,0.9774766848495513,0.9774569657268117,27864,670,481,295,615
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,3247,29,153,0.9903979893121203,0.9903804184515329,27161,222,1184,220,548
8,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,3380,88,20,0.9750075000576928,0.9749910193599886,28170,677,175,229,514
9,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,3315,10,85,0.9965429129715918,0.9965117471385792,27864,26,481,632,972
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,3064,8,336,0.9952705160854424,0.9952486487005507,25646,16,2699,279,682
11,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,3345,72,55,0.9790263005391229,0.979010493177317,27880,551,465,216,493
