observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,14,1/2,21,10,17,3,24,13,1,2,1,1,14,1,21,10,9,26,2,20,3700,183,415,0.9517342140733197,0.9516684446956947,30651,545,1147,1121,2067
2,25,11,4,17,28,14,7,20,1,1,1,1,25,11,4,17,39,19,23,11,3476,115,639,0.965158768062019,0.965139644987054,27977,830,3821,233,601
3,1/4,17,29,8,1,20,32,11,4,1,1,1,1,17,29,8,22,25,27,42,3919,1460,196,0.7320143750513662,0.7320005657093782,31460,5365,338,112,434
4,7,20,20,1/3,10,23,23,2,1,1,1,3,7,20,20,1,22,2,24,30,3460,245,655,0.9318108370138964,0.9317825819547135,28057,510,3741,397,888
5,24,12,11,1/3,27,15,14,2,1,1,1,3,24,12,11,1,37,7,21,9,3247,54,868,0.9788139680702262,0.9787928722321201,26341,336,5457,265,663
6,5,1/5,28,29,8,0,31,32,1,5,1,1,5,1,28,29,2,2,5,10,3560,314,555,0.9178048994281766,0.9177436483145199,29402,5,2396,1318,1925
7,22,11,6,18,25,14,9,21,1,1,1,1,22,11,6,18,40,25,15,13,3498,120,617,0.9641835311499088,0.9641627853181665,28247,655,3551,274,652
8,1,22,24,1/4,4,25,27,1,1,1,1,4,1,22,24,1,6,9,33,41,3549,940,566,0.7919188132597869,0.7918972083215152,28545,1270,3253,315,679
9,21,29,1/4,15,24,32,1,18,1,1,4,1,21,29,1,15,20,42,41,42,3825,820,290,0.8253495598135682,0.8253246775429814,30927,4370,871,421,782
10,26,28,28,28,29,31,31,31,1,1,1,1,26,28,28,28,26,1,42,2,2835,35,1280,0.9793084389788939,0.9792744565428496,23187,28,8611,436,1068
11,2,17,18,1,5,20,21,4,1,1,1,1,2,17,18,1,22,7,26,25,3771,763,344,0.8332559958635501,0.8332345500190802,30352,2540,1446,271,674
12,29,27,30,18,32,30,33,21,1,1,1,1,29,27,30,18,42,30,5,41,3492,87,623,0.9727778211113959,0.9727317793651823,28533,265,3265,761,1447
13,3,29,1/5,15,6,32,0,18,1,1,5,1,3,29,1,15,3,39,12,30,3890,793,225,0.8326840253101694,0.8326597475960291,31441,4069,357,372,763
14,29,2,1/3,29,32,5,2,32,1,1,3,1,29,2,1,29,7,41,35,3,3760,289,355,0.9283217128523178,0.9282739528930458,30683,1298,1115,907,1501
15,1/4,1/5,5,18,1,0,8,21,4,5,1,1,1,1,5,18,40,27,9,7,3698,411,417,0.8999493808893388,0.8999265986569346,29852,1111,1946,405,716
16,1,1/5,22,6,4,0,25,9,1,5,1,1,1,1,22,6,15,32,42,24,3130,371,985,0.8909053647873212,0.8908867508125217,25043,785,6755,283,585
17,21,11,9,1/4,24,14,12,1,1,1,1,4,21,11,9,1,38,9,23,13,3274,56,841,0.9785695071285532,0.978549334034497,26421,372,5377,247,634
18,6,30,29,24,9,33,32,27,1,1,1,1,6,30,29,24,7,40,2,35,3768,378,347,0.9089637138211696,0.9089158584056166,30903,1359,895,753,1504
19,30,3,1/5,28,33,6,0,31,1,1,5,1,30,3,1,28,22,40,3,4,3902,1065,213,0.7882891982965519,0.788224001656613,31779,2627,19,1439,2049
20,1/4,28,1/3,19,1,31,2,22,4,1,3,1,1,28,1,19,1,5,37,1,3814,1000,301,0.7945800225832392,0.7944211515128561,31677,44,121,2968,4993
21,30,30,26,29,33,33,29,32,1,1,1,1,30,30,26,29,24,33,26,41,2844,40,1271,0.9777832786682343,0.9777633601242608,23123,245,8675,230,626
22,11,20,26,1/5,14,23,29,0,1,1,1,5,11,20,26,1,41,3,39,24,3107,64,1008,0.9740178313917767,0.9740002037985477,25157,384,6641,189,554
23,10,11,1/3,20,13,14,2,23,1,1,3,1,10,11,1,20,2,5,4,36,3840,311,275,0.9252387790703278,0.925183478064855,31351,1665,447,1038,1738
24,11,27,19,24,14,30,22,27,1,1,1,1,11,27,19,24,42,27,4,2,3628,99,487,0.9714144951750581,0.9713733216991767,29675,375,2123,649,1294
25,18,1/4,15,7,21,1,18,10,1,4,1,1,18,1,15,7,25,42,42,1,3047,49,1068,0.9777369897124228,0.9776951480425743,24848,6,6950,548,1315
26,25,11,30,25,28,14,33,28,1,1,1,1,25,11,30,25,35,25,42,38,2660,41,1455,0.9746160159455973,0.9745991520026166,21582,261,10216,156,530
27,26,26,24,23,29,29,27,26,1,1,1,1,26,26,24,23,2,41,7,7,3648,162,467,0.955949791672126,0.9558741902975556,30241,331,1557,1443,2376
28,11,1/3,23,1/2,14,2,26,3,1,3,1,2,11,1,23,1,7,38,37,26,3591,139,524,0.9607512641464003,0.9607244727501931,29095,691,2703,408,842
29,30,22,9,1/2,33,25,12,3,1,1,1,2,30,22,9,1,31,6,36,7,3028,50,1087,0.9771713664263539,0.9771518933450252,24608,346,7190,219,612
30,7,1/5,1/5,6,10,0,0,9,1,5,5,1,7,1,1,6,13,16,9,2,3855,478,260,0.8905799512086937,0.8905244274718985,31372,1074,426,1193,1745
31,7,26,30,22,10,29,33,25,1,1,1,1,7,26,30,22,11,38,5,12,3685,310,430,0.921849201981288,0.9218224105850807,29864,1131,1934,393,842
32,22,27,29,1/4,25,30,32,1,1,1,1,4,22,27,29,1,38,39,27,40,2873,53,1242,0.9739709402057102,0.9739527716935554,23457,311,8341,188,571
33,30,1,1/5,17,33,4,0,20,1,1,5,1,30,1,1,17,5,8,27,38,3853,722,262,0.8438827806737046,0.8438367071087307,31192,3505,606,894,1448
34,29,30,11,28,32,33,14,31,1,1,1,1,29,30,11,28,41,2,2,27,3700,173,415,0.9541394178202298,0.9540702756540086,30674,439,1124,1216,2173
35,24,1/2,27,1/5,27,3,30,0,1,2,1,5,24,1,27,1,17,26,41,3,3075,40,1040,0.9808612440191387,0.9808261161077221,24967,1,6831,516,1104
36,17,1/3,12,29,20,2,15,32,1,3,1,1,17,1,12,29,3,9,40,42,3638,135,477,0.9624746020995597,0.9624262694026016,29825,388,1973,862,1519
37,9,16,1/4,4,12,19,1,7,1,1,4,1,9,16,1,4,35,1,41,15,3803,505,312,0.883567913683105,0.8835164309288731,30841,2298,957,888,1618
38,12,29,28,1/5,15,32,31,0,1,1,1,5,12,29,28,1,12,35,19,42,3450,109,665,0.9663540721320293,0.9663316080872285,28003,483,3795,315,706
39,17,15,29,11,20,18,32,14,1,1,1,1,17,15,29,11,40,41,2,14,3670,155,445,0.9580244335386864,0.9579458093818836,30542,404,1256,1410,2471
40,28,24,28,22,31,27,31,25,1,1,1,1,28,24,28,22,1,14,18,1,3700,218,415,0.9434106590105917,0.9432661063823621,31159,4,639,3132,4543
41,30,7,17,4,33,10,20,7,1,1,1,1,30,7,17,4,23,42,42,11,2885,42,1230,0.9777142159985903,0.9776939792670134,23384,249,8414,240,636
42,12,1/5,30,27,15,0,33,30,1,5,1,1,12,1,30,27,26,13,33,29,3228,64,887,0.9756805281006872,0.9756615323007636,26163,348,5635,232,597
43,18,25,8,30,21,28,11,33,1,1,1,1,18,25,8,30,41,7,1,41,3783,254,332,0.9367200190166792,0.9365952894761421,31708,603,90,2230,3920
44,10,18,16,3,13,21,19,6,1,1,1,1,10,18,16,3,6,28,1,34,3781,263,334,0.934637194654696,0.9345184788598634,31710,811,88,2064,3731
45,23,30,30,10,26,33,33,13,1,1,1,1,23,30,30,10,7,3,9,2,3468,91,647,0.971395919464892,0.9713603460908307,28163,283,3635,560,1118
46,29,7,25,23,32,10,28,26,1,1,1,1,29,7,25,23,15,40,3,41,3588,122,527,0.9650090099782147,0.9649455633700945,29637,281,2161,1103,1994
47,20,1/5,30,1/2,23,0,33,3,1,5,1,2,20,1,30,1,1,5,33,39,3698,207,417,0.9459736007367235,0.9458461666015574,30937,33,861,2784,4005
48,30,28,13,1/5,33,31,16,0,1,1,1,5,30,28,13,1,40,6,32,20,2983,47,1132,0.9774879575318676,0.9774693753758283,24111,306,7687,199,584
49,29,1/2,11,27,32,3,14,30,1,2,1,1,29,1,11,27,7,2,31,5,3384,77,731,0.9740708331414359,0.9740214822441469,27634,24,4164,804,1551
50,16,23,21,22,19,26,24,25,1,1,1,1,16,23,21,22,26,28,19,1,3226,55,889,0.978263506465151,0.9782177510877805,26376,9,5422,628,1438
51,15,25,30,4,18,28,33,7,1,1,1,1,15,25,30,4,5,41,33,15,3594,130,521,0.9630689583098864,0.9630356758865696,29246,537,2552,536,1046
52,15,30,18,19,18,33,21,22,1,1,1,1,15,30,18,19,35,41,3,40,3653,134,462,0.9629477324729278,0.962898031569275,29974,476,1824,829,1562
53,30,4,29,24,33,7,32,27,1,1,1,1,30,4,29,24,17,3,7,37,3403,69,712,0.9765098167501709,0.9764723024317288,27633,258,4165,577,1179
54,15,21,17,1/5,18,24,20,0,1,1,1,5,15,21,17,1,41,1,21,7,3175,50,940,0.9790921425928211,0.9790524327799154,25943,46,5855,554,1248
55,24,1/5,8,17,27,0,11,20,1,5,1,1,24,1,8,17,14,19,40,4,3212,57,903,0.9775040171397965,0.9774792621442512,26169,279,5629,344,778
56,28,12,1,28,31,15,4,31,1,1,1,1,28,12,1,28,35,37,31,38,3636,323,479,0.9176905293125903,0.9176710562312616,29310,2076,2488,251,612
57,24,22,21,1/2,27,25,24,3,1,1,1,2,24,22,21,1,36,6,7,27,3464,83,651,0.9734821659416136,0.973449456255983,28100,340,3698,496,1028
58,27,2,28,19,30,5,31,22,1,1,1,1,27,2,28,19,1,24,3,39,3731,234,384,0.9402721774193548,0.9401373295130292,31247,319,551,2850,4238
59,1,3,19,27,4,6,22,30,1,1,1,1,1,3,19,27,1,40,39,8,3862,1177,253,0.7692430266187567,0.7692158852161857,31100,2977,698,345,853
60,26,28,3,1/5,29,31,6,0,1,1,1,5,26,28,3,1,12,28,26,1,3291,49,824,0.9807778274474742,0.9807365585153118,26891,0,4907,718,1297
61,16,5,27,17,19,8,30,20,1,1,1,1,16,5,27,17,1,38,18,41,3754,239,361,0.939571111066616,0.9394630545564976,31237,519,561,2199,3396
62,27,4,23,30,30,7,26,33,1,1,1,1,27,4,23,30,32,25,42,6,2700,40,1415,0.975609756097561,0.9755921603230924,21935,255,9863,173,553
63,28,29,1/5,2,31,32,0,5,1,1,5,1,28,29,1,2,28,41,18,5,3797,633,318,0.8583312611614711,0.8582996014949317,30745,1576,1053,740,995
64,17,27,12,1/3,20,30,15,2,1,1,1,3,17,27,12,1,10,2,2,27,3692,164,423,0.956184378868636,0.9561146639647287,30636,341,1162,1237,2191
65,15,1/3,1/4,10,18,2,1,13,1,3,4,1,15,1,1,10,42,7,38,27,3841,799,274,0.8296792310184686,0.8296563851485437,30935,3893,863,409,718
66,24,29,15,18,27,32,18,21,1,1,1,1,24,29,15,18,39,25,38,24,2843,50,1272,0.9744844795437096,0.9744674246881668,23042,321,8756,162,536
67,30,14,26,1/3,33,17,29,2,1,1,1,3,30,14,26,1,4,9,36,42,3522,109,593,0.9674016941889978,0.967350784172452,28899,283,2899,901,1600
68,10,5,30,1/4,13,8,33,1,1,1,1,4,10,5,30,1,40,37,38,2,3071,54,1044,0.9765326888832359,0.9764982609845468,24994,1,6804,497,1082
69,24,6,18,1/2,27,9,21,3,1,1,1,2,24,6,18,1,1,38,2,7,3738,236,377,0.9399469928234117,0.9398150722430375,31366,347,432,2746,4146
70,24,1/4,23,25,27,1,26,28,1,4,1,1,24,1,23,25,35,2,3,41,3577,102,538,0.9699760285488053,0.9699065681949807,29544,60,2254,1264,2183
71,9,28,30,27,12,31,33,30,1,1,1,1,9,28,30,27,6,31,41,40,3647,274,468,0.9292003831964291,0.9291739418065856,29574,1016,2224,401,831
72,20,29,30,1/2,23,32,33,3,1,1,1,2,20,29,30,1,39,40,13,33,3215,64,900,0.9755076280752005,0.9754828412608948,26203,320,5595,333,779
73,1/2,14,7,9,3,17,10,12,2,1,1,1,1,14,7,9,40,22,42,21,3901,1363,214,0.7443207619890786,0.7443066026407268,31332,4595,466,122,445
74,15,22,8,30,18,25,11,33,1,1,1,1,15,22,8,30,27,2,12,30,3457,77,658,0.9750057817814656,0.9749797858542669,28117,390,3681,371,817
75,21,1/4,14,24,24,1,17,27,1,4,1,1,21,1,14,24,7,11,30,3,3464,92,651,0.9710751910472699,0.9710425131803996,28141,322,3657,521,1027
76,16,6,22,27,19,9,25,30,1,1,1,1,16,6,22,27,1,33,41,7,3754,238,361,0.9398016252509725,0.9396935051033335,31237,499,561,2201,3398
77,30,29,18,1/3,33,32,21,2,1,1,1,3,30,29,18,1,42,2,15,31,3247,55,868,0.9785248895505476,0.978500484561366,26337,293,5461,333,767
78,16,26,1/4,17,19,29,1,20,1,1,4,1,16,26,1,17,42,42,20,4,3855,698,260,0.8483266728869954,0.8482882358245033,31240,2139,558,789,1208
79,14,1/5,6,3,17,0,9,6,1,5,1,1,14,1,6,3,7,10,10,24,3513,98,602,0.9701525511725784,0.9701222278939733,28562,288,3236,491,953
80,1/2,23,16,23,3,26,19,26,2,1,1,1,1,23,16,23,11,41,3,42,3928,1607,187,0.7133258271891911,0.7133127178599306,31541,6599,257,93,412
81,25,23,4,1/2,28,26,7,3,1,1,1,2,25,23,4,1,13,40,41,5,3305,61,810,0.9775272258339297,0.977501325363012,26803,314,4995,372,814
82,12,1/3,15,27,15,2,18,30,1,3,1,1,12,1,15,27,39,14,21,33,3322,70,793,0.9752059322581214,0.9751871591895201,26842,448,4956,222,590
83,13,1,30,1/3,16,4,33,2,1,1,1,3,13,1,30,1,7,3,40,20,3573,113,542,0.9670923352586762,0.9670640165619726,28997,483,2801,448,890
84,12,30,27,26,15,33,30,29,1,1,1,1,12,30,27,26,5,29,1,42,3765,248,350,0.9377241571690443,0.937600795835202,31710,660,88,2172,3877
85,30,24,24,3,33,27,27,6,1,1,1,1,30,24,24,3,38,4,4,3,3554,93,561,0.9720049448084981,0.9719535575105472,29145,271,2653,872,1615
86,13,20,26,14,16,23,29,17,1,1,1,1,13,20,26,14,40,40,38,41,3093,75,1022,0.9705234488255191,0.9705072848952658,24928,521,6870,155,508
87,26,29,6,28,29,32,9,31,1,1,1,1,26,29,6,28,8,34,40,7,3423,95,692,0.9697048675048301,0.9696718078128357,27746,336,4052,515,1039
88,21,1/5,19,1/4,24,0,22,1,1,5,1,4,21,1,19,1,40,5,4,36,3555,95,560,0.9714972809007187,0.9714412480637581,29225,102,2573,944,1761
89,29,29,30,4,32,32,33,7,1,1,1,1,29,29,30,4,35,1,26,4,2765,34,1350,0.9786502059943654,0.9786176872212967,22749,35,9049,402,1022
90,13,5,8,1/2,16,8,11,3,1,1,1,2,13,5,8,1,2,28,1,8,3747,231,368,0.9412822741500324,0.9411602173853639,31659,519,139,2153,3836
91,21,27,17,1/3,24,30,20,2,1,1,1,3,21,27,17,1,21,1,42,40,3084,50,1031,0.9779237828273539,0.9778857594087463,25093,35,6705,527,1195
92,26,1/5,5,29,29,0,8,32,1,5,1,1,26,1,5,29,6,38,22,38,3482,102,633,0.9686698454913176,0.9686318538914703,28392,353,3406,618,1194
93,18,16,2,5,21,19,5,8,1,1,1,1,18,16,2,5,6,4,1,8,3809,335,306,0.9192888966119775,0.9191890175232669,31740,854,58,1825,3139
94,30,28,21,5,33,31,24,8,1,1,1,1,30,28,21,5,4,35,37,4,3522,108,593,0.9676621699590625,0.9676111644862357,28899,279,2899,902,1603
95,9,1/5,23,14,12,0,26,17,1,5,1,1,9,1,23,14,38,25,15,3,3378,82,737,0.9726181221387233,0.972597567219543,27293,422,4505,266,646
96,14,17,12,23,17,20,15,26,1,1,1,1,14,17,12,23,2,7,6,41,3705,187,410,0.9508630911134722,0.9508037491254361,30492,549,1306,1087,1865
97,19,30,23,1/3,22,33,26,2,1,1,1,3,19,30,23,1,39,6,39,42,2774,52,1341,0.9727258063384974,0.9727094833144424,22431,327,9367,150,513
98,30,1/5,30,13,33,0,33,16,1,5,1,1,30,1,30,13,37,35,31,8,2667,36,1448,0.9764795477512046,0.9764616337891325,21579,233,10219,174,563
99,26,30,7,1/2,29,33,10,3,1,1,1,2,26,30,7,1,7,41,6,7,3526,112,589,0.9666789123628527,0.9666400934752366,28806,362,2992,634,1220
100,26,30,24,25,29,33,27,28,1,1,1,1,26,30,24,25,3,11,42,4,3585,137,530,0.961162081150499,0.9611046482880833,29504,312,2294,1045,1805
101,30,24,7,14,33,27,10,17,1,1,1,1,30,24,7,14,4,42,41,32,3522,109,593,0.9674016941889978,0.967350784172452,28899,283,2899,901,1600
102,30,29,29,5,33,32,32,8,1,1,1,1,30,29,29,5,24,5,1,37,3733,223,382,0.9428720088503175,0.9426996784443101,31702,265,96,3405,5416
103,1/5,18,1/4,1,0,21,1,4,5,1,4,1,1,18,1,1,31,10,1,3,3756,679,359,0.8481235604931582,0.8480796824226478,30528,1107,1270,756,1379
104,10,1/4,19,22,13,1,22,25,1,4,1,1,10,1,19,22,41,29,41,5,3126,79,989,0.969843633655994,0.9698271515381374,25286,454,6512,166,518
105,17,28,16,2,20,31,19,5,1,1,1,1,17,28,16,2,4,1,32,1,3585,108,530,0.9685419728538083,0.9684773807703159,29486,8,2312,1088,2030
106,23,25,23,30,26,28,26,33,1,1,1,1,23,25,23,30,8,13,7,35,3475,112,640,0.9659324653376177,0.9658987692704164,28178,359,3620,522,1059
107,6,1/4,26,5,9,1,29,8,1,4,1,1,6,1,26,5,5,13,42,27,3566,241,549,0.9351823684293341,0.9351551952080028,29089,517,2709,461,854
108,27,1/2,7,1/4,30,3,10,1,1,2,1,4,27,1,7,1,30,40,42,10,3058,48,1057,0.9781906352161422,0.9781710030410118,24802,318,6996,228,617
109,26,30,9,20,29,33,12,23,1,1,1,1,26,30,9,20,17,2,36,2,3174,52,941,0.9784880602260326,0.9784630506804045,25787,253,6011,331,786
110,11,13,25,1/5,14,16,28,0,1,1,1,5,11,13,25,1,40,4,6,2,3431,61,684,0.9790381399702093,0.9789937527995335,28143,1,3655,750,1395
111,23,1/3,7,6,26,2,10,9,1,3,1,1,23,1,7,6,3,38,38,38,3604,146,511,0.9591994251191016,0.9591453968640424,29670,372,2128,974,1698
112,23,28,25,29,26,31,28,32,1,1,1,1,23,28,25,29,42,13,12,13,3261,62,854,0.9766865138790718,0.9766615043334437,26544,318,5254,344,786
113,30,1/4,12,22,33,1,15,25,1,4,1,1,30,1,12,22,19,1,2,41,3635,127,480,0.964431449751397,0.964342357222442,30424,112,1374,1687,2800
114,9,3,16,1/5,12,6,19,0,1,1,1,5,9,3,16,1,31,8,39,15,3241,82,874,0.9706964095314541,0.970677922831696,26253,408,5545,221,581
115,11,10,30,1/2,14,13,33,3,1,1,1,2,11,10,30,1,5,33,6,2,3567,102,548,0.9698416496280505,0.9697841213093539,29375,8,2423,948,1808
116,13,25,25,15,16,28,28,18,1,1,1,1,13,25,25,15,42,4,12,32,3397,73,718,0.9753366447500647,0.9753137034238587,27609,443,4189,307,721
117,23,30,30,27,26,33,33,30,1,1,1,1,23,30,30,27,2,32,1,20,3730,229,385,0.9414152019625858,0.9412693129464218,31706,371,92,2720,4585
118,20,3,25,1/3,23,6,28,2,1,1,1,3,20,3,25,1,24,40,39,26,3056,61,1059,0.9741915740079569,0.9741726100267936,24621,347,7177,219,596
119,14,29,14,30,17,32,17,33,1,1,1,1,14,29,14,30,42,35,40,3,2994,59,1121,0.9738992401373998,0.9738822489193777,24153,399,7645,166,534
120,30,1/4,10,1/5,33,1,13,0,1,4,1,5,30,1,10,1,7,4,14,38,3395,53,720,0.9808340122611473,0.980784915913941,27691,32,4107,799,1543
121,21,5,13,27,24,8,16,30,1,1,1,1,21,5,13,27,26,11,10,40,3421,96,694,0.9694074174827711,0.9693806579053242,27700,380,4098,389,841
122,30,28,29,8,33,31,32,11,1,1,1,1,30,28,29,8,40,1,41,42,2493,29,1622,0.9761694063104479,0.9761401012321738,20060,27,11738,323,921
