observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,211099,662,495,0.9968895576197812,0.9968835940783642,2202578,4948,2383,6946,9949
2,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,209995,514,1599,0.9974554779896709,0.9974519444610095,2190998,3972,13963,4143,5895
3,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,208596,255,2998,0.9985167481658964,0.9985128837622865,2176875,1331,28086,4747,6447
4,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,210906,2096,688,0.990290638512223,0.9902834719526511,2200406,16473,4555,8038,11956
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,211335,2087,259,0.9903909095203497,0.9903847170038779,2204041,18039,920,8133,10331
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,207590,1129,4004,0.9943168891134779,0.9943144668930672,2166252,10988,38709,2797,4041
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,210886,982,708,0.9953907845521709,0.9953868536139246,2199035,8354,5926,4624,6558
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,210870,1478,724,0.9931102534642295,0.993102136238592,2200335,9859,4626,9053,13542
9,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,211355,4649,239,0.9788769511077929,0.9788737982052045,2203420,44829,1541,3331,5260
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,210805,2360,789,0.9890745512743699,0.9890714067635373,2198342,21090,6619,4039,5246
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,205423,423,6171,0.9973880486865084,0.9973848664127741,2144081,3544,60880,3740,5309
12,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,208181,318,3413,0.9981784696939839,0.998174310979505,2172855,2374,32106,5128,6938
13,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,209234,279,2360,0.9984699931693226,0.9984647045648476,2184062,1456,20899,6507,8823
14,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,208929,574,2665,0.9970611537903917,0.9970547892429231,2179498,4458,25463,8252,10618
15,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,208416,1236,3178,0.9939203829790563,0.9939173553533958,2174227,11515,30734,3771,5051
16,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,207628,182,3966,0.9987604725828158,0.99875655243397,2166047,953,38914,5177,6540
17,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,208970,645,2624,0.9967347243260796,0.9967302665054426,2180865,5418,24096,5486,7437
