observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,168723,2725,5050,0.9838391318672028,0.9838308981870292,1359764,19808,37700,5653,9627
2,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,167040,2012,6733,0.9875467656956618,0.9875363690387395,1346657,12844,50807,7508,12156
3,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,171628,3442,2145,0.9804845705704038,0.9804642271283543,1385251,23064,12213,14458,23786
4,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,172037,5143,1736,0.971346582888351,0.9713336683178074,1386250,36282,11214,10669,15100
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,173018,5342,755,0.9705485429655285,0.9705333251540265,1394443,38167,3021,13212,17793
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,163742,2862,10031,0.9819764484455469,0.9819709251146482,1319311,21425,78153,3380,6458
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,170112,3670,3661,0.978882601183484,0.9788732967058057,1370355,26185,27109,7004,10879
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,173147,9503,626,0.9488938769170975,0.9488869192991258,1394079,72961,3385,5204,8135
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,172199,6210,1574,0.9656942147963159,0.9656872375071441,1386920,47036,10544,6088,8158
10,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,172038,3116,1735,0.9823648498872642,0.9823465291577536,1387212,19463,10252,14055,21421
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,160377,1698,13396,0.988097021877289,0.9880914634803378,1292579,11997,104885,3587,6499
12,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,169166,5574,4607,0.9682083389565951,0.968202922534393,1361336,43485,36128,4088,6333
13,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,163615,1389,10158,0.990529205279739,0.9905218756195033,1319249,9125,78215,5317,8570
14,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,167630,1571,6143,0.99018006947032,0.9901684378041351,1351732,9547,45732,8355,13600
15,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,144029,1852,29744,0.9835437101249915,0.9835303841697837,1159416,13094,238048,12501,15581
16,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,164675,2010,9098,0.9871018294666876,0.9870944998064519,1326839,13962,70625,5492,8570
17,14,20,9,30,17,23,12,33,1,1,1,1,14,20,9,30,41,11,21,13,166090,2526,7683,0.9844170613956426,0.9844105570705444,1338428,18599,59036,4179,7605
18,1,13,30,5,4,16,33,8,1,1,1,1,1,13,30,5,29,32,10,31,171302,7916,2471,0.9564114832803025,0.956406813508437,1378810,62322,18654,2950,5460
19,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,163231,1046,10542,0.9924852973473328,0.9924755335898942,1315614,5903,81850,8804,11416
20,1/5,14,11,4,0,17,14,7,5,1,1,1,1,14,11,4,6,15,40,14,171372,6078,2401,0.966148495691029,0.9661410351745489,1379927,46085,17537,5702,8723
21,27,18,8,8,30,21,11,11,1,1,1,1,27,18,8,8,31,38,38,33,162594,2407,11179,0.9843655669053044,0.9843604541038005,1309031,17967,88433,3405,5978
22,20,10,28,1,23,13,31,4,1,1,1,1,20,10,28,1,15,5,39,37,162747,1636,11026,0.9889178396167486,0.988910899959438,1311092,11310,86372,4933,8114
23,9,18,18,15,12,21,21,18,1,1,1,1,9,18,18,15,4,36,14,8,169234,2571,4539,0.984809742955777,0.9847988853085551,1363957,17570,33507,8065,12695
24,5,19,24,15,8,22,27,18,1,1,1,1,5,19,24,15,23,11,4,38,171482,4573,2291,0.9742777315933653,0.9742631808921297,1382977,32947,14487,9798,17013
25,1/4,17,20,1/5,1,20,23,0,4,1,1,5,1,17,20,1,22,10,28,8,155475,520,18298,0.9944000200574914,0.9943880710862951,1253218,1622,144246,10736,13971
26,6,5,30,10,9,8,33,13,1,1,1,1,6,5,30,10,38,27,34,22,165460,4016,8313,0.9758086042186119,0.975804973599277,1332659,31266,64805,2340,4245
27,8,22,19,25,11,25,22,28,1,1,1,1,8,22,19,25,28,24,4,16,171229,3628,2544,0.979373046590357,0.9793562747540419,1381452,25925,16012,11258,19610
28,16,13,3,21,19,16,6,24,1,1,1,1,16,13,3,21,12,2,28,8,167197,1937,6576,0.9880055627129465,0.9879949051988046,1347977,12161,49487,8099,12461
29,18,1/3,2,27,21,2,5,30,1,3,1,1,18,1,2,27,26,1,5,28,171247,4059,2526,0.9770170749633121,0.9770017887302443,1381779,28935,15685,13324,17873
30,1/5,2,15,20,0,5,18,23,5,1,1,1,1,2,15,20,28,10,30,10,166765,2995,7008,0.9818932213127793,0.9818873481766256,1342408,22406,55056,4410,6867
