observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,145038,1819,3831,0.9873432611804007,0.9873360169979855,1165663,12788,27531,4574,7655
2,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,147305,2026,1564,0.986493863988745,0.9864769605809982,1185047,13676,8147,11088,17862
3,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,143260,1162,5609,0.9913436311465416,0.991333822400528,1151208,6301,41986,6470,10365
4,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,147786,3330,1083,0.9782548689338646,0.9782425221215888,1186547,22946,6647,8689,13047
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,148347,4101,522,0.9735561447105792,0.9735425070995033,1191279,28278,1915,10531,14411
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,140694,2132,8175,0.9842398776720246,0.9842351781802057,1130388,16030,62806,2628,4966
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,145921,2519,2948,0.982973363571413,0.9829653045959136,1172371,17935,20823,5691,8516
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,148238,6871,631,0.9564716919531152,0.9564658161688414,1189916,52513,3278,3807,6209
9,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,147729,2412,1140,0.9841018479363497,0.9840857224146834,1186458,13742,6736,11101,17040
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,147385,4419,1484,0.9712656668773266,0.9712602330307651,1182756,32646,10438,4152,5742
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,138007,1090,10862,0.9907716456112049,0.9907664833623381,1109214,7559,83980,3077,5455
12,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,144132,1072,4737,0.9921164559088032,0.9921058408867063,1159401,6088,33793,7098,11217
13,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,141330,1106,7539,0.9913396489705091,0.9913328013018015,1135617,7256,57577,4590,7236
14,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,144924,3893,3945,0.9738335486746095,0.9738287545494474,1163209,30008,29985,3297,5066
15,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,127220,1510,21649,0.985187494608263,0.9851745071282544,1022249,11040,170945,10899,13724
16,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,141986,1541,6883,0.988527494634969,0.9885203886172348,1140960,10848,52234,4869,7509
17,14,20,9,30,17,23,12,33,1,1,1,1,14,20,9,30,41,11,21,13,142622,1732,6247,0.9873840643071414,0.9873784676912298,1146019,12388,47175,3327,5914
18,1,13,30,5,4,16,33,8,1,1,1,1,1,13,30,5,29,32,10,31,147141,6215,1728,0.9600351701672633,0.9600313053415306,1180849,47954,12345,2257,4084
19,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,141784,849,7085,0.9931792130050832,0.993170105492142,1139056,4371,54138,7422,9624
20,1/5,14,11,4,0,17,14,7,5,1,1,1,1,14,11,4,6,15,40,14,147361,4907,1508,0.9682061802619999,0.9681993259689583,1182888,36564,10306,4563,7243
21,20,10,28,1,23,13,31,4,1,1,1,1,20,10,28,1,15,5,39,37,140410,1015,8459,0.9917789920005017,0.9917722787111413,1127894,6783,65300,4375,7094
22,27,18,8,8,30,21,11,11,1,1,1,1,27,18,8,8,31,38,38,33,139575,1850,9294,0.9858810113843034,0.9858764254524962,1121562,13807,71632,2810,4846
23,9,18,18,15,12,21,21,18,1,1,1,1,9,18,18,15,4,36,14,8,145562,1813,3307,0.987497835892543,0.9874881104238714,1170199,12341,22995,6807,10277
24,5,19,24,15,8,22,27,18,1,1,1,1,5,19,24,15,23,11,4,38,147151,2851,1718,0.981141802597611,0.981129635588687,1183787,21058,9407,7491,12857
25,1/4,17,20,1/5,1,20,23,0,4,1,1,5,1,17,20,1,22,10,28,8,136846,496,12023,0.9947188588652939,0.9947074792057846,1098651,1330,94543,8683,12025
26,6,5,30,10,9,8,33,13,1,1,1,1,6,5,30,10,38,27,34,22,142139,2870,6730,0.9796865587492125,0.9796833847468845,1141890,22464,51304,1842,3354
27,8,22,19,25,11,25,22,28,1,1,1,1,8,22,19,25,28,24,4,16,146929,2551,1940,0.9830145332994176,0.9830003875072891,1182451,18543,10743,8648,14948
28,16,13,3,21,19,16,6,24,1,1,1,1,16,13,3,21,12,2,28,8,143611,1091,5258,0.9918890959540518,0.991878830128991,1154205,5858,38989,7103,10848
29,18,1/3,2,27,21,2,5,30,1,3,1,1,18,1,2,27,26,1,5,28,146911,2675,1958,0.9822114697396552,0.9821984576549773,1181228,18842,11966,10044,13750
30,1/5,2,15,20,0,5,18,23,5,1,1,1,1,2,15,20,28,10,30,10,143535,2409,5334,0.9830996044588278,0.9830946825786525,1152476,17314,40718,3416,5201
31,28,29,28,9,31,32,31,12,1,1,1,1,28,29,28,9,1,39,18,41,144336,1783,4533,0.9874259444224006,0.9874085574382706,1159691,11352,33503,13902,18373
32,26,22,20,20,29,25,23,23,1,1,1,1,26,22,20,20,16,13,34,35,140405,1351,8464,0.9894765446736276,0.9894701332646317,1128212,9273,64982,4116,6775
33,26,28,14,14,29,31,17,17,1,1,1,1,26,28,14,14,34,28,30,34,139669,1672,9200,0.9871189490030359,0.987113898421514,1122356,12359,70838,2982,5337
34,29,26,7,10,32,29,10,13,1,1,1,1,29,26,7,10,36,14,8,24,145504,1922,3365,0.9867697816131663,0.9867591741617369,1170636,13402,22558,6769,11209
35,28,20,16,1/2,31,23,19,3,1,1,1,2,28,20,16,1,26,42,6,22,145326,1183,3543,0.9916059504817948,0.9915911394172643,1169571,7076,23623,9488,15651
36,27,8,9,1/2,30,11,12,3,1,1,1,2,27,8,9,1,25,2,20,23,142102,868,6767,0.9931092744477908,0.9931001375985133,1142352,4666,50842,5936,9655
37,23,4,18,1/3,26,7,21,2,1,1,1,3,23,4,18,1,3,23,23,27,143199,1080,5670,0.9918834002443706,0.9918712767667845,1151313,6372,41881,9159,12811
38,21,30,14,7,24,33,17,10,1,1,1,1,21,30,14,7,34,12,19,4,142273,887,6596,0.9930121393819876,0.9930037643311223,1143566,4842,49628,5014,8850
39,6,17,1/4,1/4,9,20,1,1,1,1,4,4,6,17,1,1,35,16,6,22,119805,795,29064,0.988772535521285,0.9887647841041507,962539,5080,230655,5952,8191
40,1/5,29,25,20,0,32,28,23,5,1,1,1,1,29,25,20,18,8,7,11,148062,4134,807,0.9732631667791367,0.9732525299913709,1188843,28996,4351,7148,11240
41,15,21,19,6,18,24,22,9,1,1,1,1,15,21,19,6,41,31,24,26,141301,2007,7568,0.9852305709095337,0.9852256187466887,1135286,15029,57908,2820,5233
42,10,17,18,1/4,13,20,21,1,1,1,1,4,10,17,18,1,16,27,22,36,141477,1234,7392,0.9904983513747693,0.9904926241648441,1136138,8341,57056,3681,6052
43,26,20,13,1/2,29,23,16,3,1,1,1,2,26,20,13,1,21,20,8,19,144775,1202,4094,0.9913730175621106,0.9913611533798846,1165094,7558,28100,7522,12537
