observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,40942,7357,532,0.8500804567869195,0.8500609859374315,331158,54800,2396,3321,5936
2,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,34819,2534,6655,0.9301084374103457,0.9301002698875651,281706,18722,51848,1248,2490
3,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,36490,2664,4984,0.9308578483893023,0.9308125760401391,300382,16691,33172,7590,13802
4,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,41042,7788,432,0.8430479051362615,0.8430292707198294,331733,59000,1821,3774,5681
5,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,36416,2889,5058,0.9254764745079721,0.9254639280121346,294148,21333,39406,2181,3825
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,24313,1050,17161,0.9465755013973017,0.9465684097570402,197657,7592,135897,1007,2162
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,39147,4118,2327,0.905568877318515,0.9055552254189919,315598,31190,17956,2591,4162
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,40832,6545,642,0.8640058367792424,0.8639787560290111,330913,47755,2641,4428,8256
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,40665,6413,809,0.865840592497709,0.8658348949125404,327730,49981,5824,1090,1737
10,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,41080,8407,394,0.8328140071693365,0.8328086966394643,330914,65703,2640,842,1619
11,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,39879,6297,1595,0.8653928782543103,0.8653842318326037,320749,49513,12805,1747,2636
12,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,18002,478,23472,0.9504812068503073,0.9504734198225641,146748,2927,186806,1112,2374
13,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,29117,1226,12357,0.9526062288283373,0.9525796368174211,239182,6669,94372,5123,8107
14,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,28033,1248,13441,0.9494710559169459,0.9494541468486996,229005,7903,104549,3160,5155
15,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,31646,2656,9828,0.9187282844986157,0.9186783084435619,254453,20062,79101,12283,15236
16,1/5,14,11,4,0,17,14,7,5,1,1,1,1,14,11,4,6,15,40,14,40663,6412,811,0.8658522095488831,0.8658444618826954,327856,49712,5698,1274,2362
17,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,29018,1345,12456,0.9487589103495087,0.9487377600736497,236855,8389,96699,4113,6448
18,14,20,9,30,17,23,12,33,1,1,1,1,14,20,9,30,41,11,21,13,30104,1591,11370,0.9439778141382189,0.9439691414754753,244648,11431,88906,1368,2644
19,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,34304,1920,7170,0.9442594070852487,0.944240431535335,279104,12333,54450,3897,5785
20,1,13,30,5,4,16,33,8,1,1,1,1,1,13,30,5,29,32,10,31,40550,7220,924,0.8511025923892329,0.8510989514453429,326606,56605,6948,559,1110
21,20,10,28,1,23,13,31,4,1,1,1,1,20,10,28,1,15,5,39,37,23206,783,18268,0.9534609490235714,0.9534472085605483,189726,4443,143828,2390,4189
22,1/4,17,20,1/5,1,20,23,0,4,1,1,5,1,17,20,1,22,10,28,8,26386,1057,15088,0.9517516110810925,0.951731576049308,214034,5545,119520,3725,6108
23,5,19,24,15,8,22,27,18,1,1,1,1,5,19,24,15,23,11,4,38,37771,3505,3703,0.914996041662831,0.9149759836701391,306972,25809,26582,2979,6115
24,27,18,8,8,30,21,11,11,1,1,1,1,27,18,8,8,31,38,38,33,29615,1641,11859,0.9413433285569522,0.9413350363892458,239373,12174,94181,1394,2528
25,9,18,18,15,12,21,21,18,1,1,1,1,9,18,18,15,4,36,14,8,35273,2445,6201,0.933318021904516,0.9332981869606389,287121,16978,46433,3816,6047
26,6,5,30,10,9,8,33,13,1,1,1,1,6,5,30,10,38,27,34,22,34458,2859,7016,0.9213334495539324,0.9213300382191164,277892,22513,55662,517,1040
27,1/5,2,15,20,0,5,18,23,5,1,1,1,1,2,15,20,28,10,30,10,38786,4319,2688,0.9004842546429985,0.9004791671619413,312641,33660,20913,897,1551
28,8,22,19,25,11,25,22,28,1,1,1,1,8,22,19,25,28,24,4,16,35967,2690,5507,0.9290595954779411,0.9290252229995408,294708,17942,38846,5483,10479
29,18,1/3,2,27,21,2,5,30,1,3,1,1,18,1,2,27,26,1,5,28,39476,4737,1998,0.8939671934240103,0.8939398010614642,318744,36096,14810,5259,8351
30,16,13,3,21,19,16,6,24,1,1,1,1,16,13,3,21,12,2,28,8,35936,2773,5538,0.927038538036286,0.9270208843786134,290935,20301,42619,3392,5382
31,28,29,28,9,31,32,31,12,1,1,1,1,28,29,28,9,1,39,18,41,28272,1623,13202,0.9384404071089384,0.9383286006103456,239384,2585,94170,31435,34086
32,26,28,14,14,29,31,17,17,1,1,1,1,26,28,14,14,34,28,30,34,22652,801,18822,0.9512283409942798,0.951219225514036,185148,5152,148406,1405,2779
33,26,22,20,20,29,25,23,23,1,1,1,1,26,22,20,20,16,13,34,35,20526,590,20948,0.9536703718227248,0.9536552274642198,168622,2684,164932,2600,4617
34,29,26,7,10,32,29,10,13,1,1,1,1,29,26,7,10,36,14,8,24,35367,2407,6107,0.9344483195941662,0.9344308955455678,287142,17160,46412,3075,5312
35,28,20,16,1/2,31,23,19,3,1,1,1,2,28,20,16,1,26,42,6,22,29911,1250,11563,0.953573885637445,0.9535246508916879,250268,4595,83286,9167,15010
36,21,30,14,7,24,33,17,10,1,1,1,1,21,30,14,7,34,12,19,4,24960,894,16514,0.9538950715421304,0.9538817607760889,204377,5322,129177,2146,4058
37,27,8,9,1/2,30,11,12,3,1,1,1,2,27,8,9,1,25,2,20,23,29465,1431,12009,0.947197401531975,0.9471839628408779,239960,9670,93594,2348,4097
38,1/5,29,25,20,0,32,28,23,5,1,1,1,1,29,25,20,18,8,7,11,41030,7857,444,0.8418354680486201,0.8418222064845231,331328,59918,2226,2116,4043
