observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,20134,2675,516,0.8843959936431018,0.8843129222207092,164082,19252,2343,3977,5762
2,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,16918,573,3732,0.9637590590958962,0.9637113528590519,138377,3917,28048,1717,3309
3,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,16524,551,4126,0.963695214766862,0.9636514011513377,134449,3539,31976,1608,3039
4,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,18718,702,1932,0.9626322989416085,0.9624732349007792,155078,3573,11347,6579,11033
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,20294,2977,356,0.8740413927122159,0.8739376471454791,165336,22086,1089,5477,7196
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,14088,287,6562,0.9715527050791353,0.9715218524508951,114463,1809,51962,993,2140
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,18732,965,1918,0.9500884050870205,0.9499810119899357,153265,5940,13160,5009,7449
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,20067,2267,583,0.8998525581695688,0.8997489856082239,163774,15504,2651,4726,7184
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,19868,2453,782,0.8914381911360497,0.8913934980764494,160998,18451,5427,2266,3100
10,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,20166,3505,484,0.8541086241845817,0.8540597934126892,163774,26747,2651,2228,3387
11,28,24,18,26,31,27,21,29,1,1,1,1,28,24,18,26,34,8,38,23,12942,172,7708,0.9756708019468183,0.9756418956292381,105020,897,61405,927,2005
12,26,18,8,1/3,29,21,11,2,1,1,1,3,26,18,8,1,14,14,31,27,15335,258,5315,0.9771162994595436,0.9770595248567351,125541,1127,40884,2264,3938
13,27,13,1,21,30,16,4,24,1,1,1,1,27,13,1,21,32,24,33,21,18382,1958,2268,0.9034610885570771,0.9034253052751647,148709,15148,17716,1404,2482
14,14,11,1/5,1/2,17,14,0,3,1,1,5,2,14,11,1,1,2,27,14,22,17566,1047,3084,0.941687833110143,0.9414743156221813,143380,6731,23045,11022,14810
15,27,5,10,22,30,8,13,25,1,1,1,1,27,5,10,22,10,4,13,7,16461,300,4189,0.9775648829665807,0.9774829649134681,134823,1153,31602,3317,5682
16,14,20,9,30,17,23,12,33,1,1,1,1,14,20,9,30,41,11,21,13,15331,370,5319,0.9703176839464354,0.9702803868673431,125023,2264,41402,1243,2587
17,24,27,7,1/2,27,30,10,3,1,1,1,2,24,27,7,1,10,18,35,37,15992,290,4658,0.976947174477194,0.9768748149719895,130912,1227,35513,3039,5019
18,1,13,30,5,4,16,33,8,1,1,1,1,1,13,30,5,29,32,10,31,19493,3066,1157,0.8655546290055157,0.8655258524419794,157636,23779,8789,1062,1996
19,1/5,14,11,4,0,17,14,7,5,1,1,1,1,14,11,4,6,15,40,14,20095,3103,555,0.868145559864242,0.8680920435296496,162976,23742,3449,2635,3712
20,6,1/4,17,14,9,1,20,17,1,4,1,1,6,1,17,14,3,12,39,11,18105,552,2545,0.968344417190908,0.9682109146967469,148706,2427,17719,6547,9260
21,20,10,28,1,23,13,31,4,1,1,1,1,20,10,28,1,15,5,39,37,14812,245,5838,0.9764741714275167,0.9764229041630202,121573,1072,44852,2043,3556
22,27,18,8,8,30,21,11,11,1,1,1,1,27,18,8,8,31,38,38,33,14153,265,6497,0.9732070655671872,0.9731759822650909,115030,1676,51395,1065,2156
23,9,18,18,15,12,21,21,18,1,1,1,1,9,18,18,15,4,36,14,8,18195,647,2455,0.9638121511842255,0.9636933397312685,149461,3505,16964,5488,8241
