observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,211099,662,495,0.9968895576197812,0.9968835940783642,2202578,4948,2383,6946,9949
2,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,210906,2096,688,0.990290638512223,0.9902834719526511,2200406,16473,4555,8038,11956
3,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,209995,514,1599,0.9974554779896709,0.9974519444610095,2190998,3972,13963,4143,5895
4,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,208596,255,2998,0.9985167481658964,0.9985128837622865,2176875,1331,28086,4747,6447
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,211335,2087,259,0.9903909095203497,0.9903847170038779,2204041,18039,920,8133,10331
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,207590,1129,4004,0.9943168891134779,0.9943144668930672,2166252,10988,38709,2797,4041
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,210886,982,708,0.9953907845521709,0.9953868536139246,2199035,8354,5926,4624,6558
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,210870,1478,724,0.9931102534642295,0.993102136238592,2200335,9859,4626,9053,13542
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,210805,2360,789,0.9890745512743699,0.9890714067635373,2198342,21090,6619,4039,5246
10,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,211355,4649,239,0.9788769511077929,0.9788737982052045,2203420,44829,1541,3331,5260
11,26,1/5,7,1/5,29,0,10,0,1,5,1,5,26,1,7,1,25,18,42,28,205621,139,5973,0.9987580914943839,0.9987548426860132,2146371,895,58590,4209,5420
12,28,1/5,7,1/5,31,0,10,0,1,5,1,5,28,1,7,1,24,19,41,28,205714,152,5880,0.9987058972943854,0.9987024998320524,2147170,896,57791,4398,5668
13,27,1/5,6,1/4,30,0,9,1,1,5,1,4,27,1,6,1,23,19,42,28,205858,162,5736,0.9986732739705745,0.9986698597247295,2148908,998,56053,4420,5696
14,26,1/4,7,1/4,29,1,10,1,1,4,1,4,26,1,7,1,24,20,42,28,205993,168,5601,0.9986587460317723,0.99865548583459,2150157,1200,54804,4161,5439
15,26,20,7,1/2,29,23,10,3,1,1,1,2,26,20,7,1,23,19,42,1,206685,53,4909,0.9992742044967994,0.9992703400931895,2157550,2,47411,4977,6447
16,21,9,14,4,24,12,17,7,1,1,1,1,21,9,14,4,30,28,36,35,206642,959,4952,0.9949978057679462,0.9949952001277271,2156315,9260,48646,3042,4347
17,21,8,13,4,24,11,16,7,1,1,1,1,21,8,13,4,31,27,36,31,206580,924,5014,0.9951547745558702,0.9951521886962187,2155642,8939,49319,3017,4314
18,25,9,14,4,28,12,17,7,1,1,1,1,25,9,14,4,29,27,38,2,206148,117,5446,0.9989166143904118,0.9989130424994375,2151597,426,53364,4373,5959
