observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,168723,2725,5050,0.9838391318672028,0.9838308981870292,1359764,19808,37700,5653,9627
2,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,171628,3442,2145,0.9804845705704038,0.9804642271283543,1385251,23064,12213,14458,23786
3,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,167040,2012,6733,0.9875467656956618,0.9875363690387395,1346657,12844,50807,7508,12156
4,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,172037,5143,1736,0.971346582888351,0.9713336683178074,1386250,36282,11214,10669,15100
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,173018,5342,755,0.9705485429655285,0.9705333251540265,1394443,38167,3021,13212,17793
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,163742,2862,10031,0.9819764484455469,0.9819709251146482,1319311,21425,78153,3380,6458
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,170112,3670,3661,0.978882601183484,0.9788732967058057,1370355,26185,27109,7004,10879
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,173147,9503,626,0.9488938769170975,0.9488869192991258,1394079,72961,3385,5204,8135
9,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,172199,6210,1574,0.9656942147963159,0.9656872375071441,1386920,47036,10544,6088,8158
10,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,172038,3116,1735,0.9823648498872642,0.9823465291577536,1387212,19463,10252,14055,21421
11,28,1/5,7,1/5,31,0,10,0,1,5,1,5,28,1,7,1,24,19,41,28,160543,871,13230,0.9930831879366463,0.9930766143347127,1293625,5336,103839,4883,7686
12,26,1/4,7,1/4,29,1,10,1,1,4,1,4,26,1,7,1,24,20,42,28,161153,1042,12620,0.9921591641170016,0.9921530181498541,1298534,6698,98930,4488,7186
