observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,143260,1162,5609,0.9913436311465416,0.991333822400528,1151208,6301,41986,6470,10365
2,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,145038,1819,3831,0.9873432611804007,0.9873360169979855,1165663,12788,27531,4574,7655
3,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,147786,3330,1083,0.9782548689338646,0.9782425221215888,1186547,22946,6647,8689,13047
4,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,147305,2026,1564,0.986493863988745,0.9864769605809982,1185047,13676,8147,11088,17862
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,148347,4101,522,0.9735561447105792,0.9735425070995033,1191279,28278,1915,10531,14411
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,140694,2132,8175,0.9842398776720246,0.9842351781802057,1130388,16030,62806,2628,4966
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,145921,2519,2948,0.982973363571413,0.9829653045959136,1172371,17935,20823,5691,8516
8,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,148238,6871,631,0.9564716919531152,0.9564658161688414,1189916,52513,3278,3807,6209
9,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,147729,2412,1140,0.9841018479363497,0.9840857224146834,1186458,13742,6736,11101,17040
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,147385,4419,1484,0.9712656668773266,0.9712602330307651,1182756,32646,10438,4152,5742
11,27,1/5,6,1/4,30,0,9,1,1,5,1,4,27,1,6,1,23,19,42,28,139202,754,9667,0.9933473798627115,0.9933413479334215,1118555,4531,74639,4126,6374
12,26,1/5,7,1/5,29,0,10,0,1,5,1,5,26,1,7,1,25,18,42,28,138656,713,10213,0.9935296182976374,0.9935237358890295,1114241,4096,78953,3971,6216
13,28,1/5,7,1/5,31,0,10,0,1,5,1,5,28,1,7,1,24,19,41,28,138784,716,10085,0.9935328445561797,0.9935268003245552,1115230,4119,77964,4088,6387
14,26,20,7,1/2,29,23,10,3,1,1,1,2,26,20,7,1,23,19,42,1,138987,205,9882,0.9971407364063731,0.9971302027689514,1117992,87,75202,6933,11131
15,26,1/4,7,1/4,29,1,10,1,1,4,1,4,26,1,7,1,24,20,42,28,139091,798,9778,0.9930205627813801,0.9930148705857919,1117620,5092,75574,3786,6015
16,30,8,13,4,33,11,16,7,1,1,1,1,30,8,13,4,18,28,36,31,140276,1590,8593,0.9878169987956851,0.9878110614997382,1127283,11612,65911,3803,6274
17,21,9,14,4,24,12,17,7,1,1,1,1,21,9,14,4,31,28,36,35,139371,1781,9498,0.9863039407856717,0.9862994665212094,1119775,13427,73419,2616,4728
18,30,9,14,4,33,12,17,7,1,1,1,1,30,9,14,4,19,28,38,2,139733,445,9136,0.99559093711788,0.9955812173272091,1123554,1438,69640,6111,10271
19,22,7,15,4,25,10,18,7,1,1,1,1,22,7,15,4,31,28,36,1,139121,232,9748,0.9969735563121187,0.9969617867632359,1118777,221,74417,7039,12437
20,20,8,14,4,23,11,17,7,1,1,1,1,20,8,14,4,32,28,35,1,139261,229,9608,0.9970175600121367,0.9970056437815721,1120010,231,73184,7105,12592
21,20,19,20,1,23,22,23,4,1,1,1,1,20,19,20,1,41,33,30,12,139296,1118,9573,0.9908445609749679,0.9908394242771037,1119403,7986,73791,2948,5428
22,21,18,20,10,24,21,23,13,1,1,1,1,21,18,20,10,40,34,31,12,139258,1257,9611,0.9898773177081259,0.9898721876345958,1119106,9045,74088,2928,5421
23,21,18,20,10,24,21,23,13,1,1,1,1,21,18,20,10,42,34,20,12,141605,1289,7264,0.9901512794246699,0.9901446645539863,1137916,9154,55278,3866,6990
24,21,19,21,10,24,22,24,13,1,1,1,1,21,19,21,10,42,34,30,11,139382,1230,9487,0.9900897262154921,0.9900844920452846,1120007,8831,73187,2986,5531
25,21,19,19,9,24,22,22,12,1,1,1,1,21,19,19,9,41,34,21,12,141429,1295,7440,0.9900739883049615,0.9900675977153012,1136346,9237,56848,3725,6753
26,17,6,10,1,20,9,13,4,1,1,1,1,17,6,10,1,30,24,38,1,139458,224,9411,0.9970847757284951,0.9970737679780243,1121715,173,71479,6774,11632
27,24,6,11,1,27,9,14,4,1,1,1,1,24,6,11,1,30,24,39,1,138835,217,10034,0.9970316342729832,0.9970208706765377,1116832,164,76362,6628,11374
28,24,5,11,1,27,8,14,4,1,1,1,1,24,5,11,1,30,23,38,1,138890,218,9979,0.9970336651227446,0.9970229024726325,1117193,164,76001,6622,11373
29,17,6,11,1,20,9,14,4,1,1,1,1,17,6,11,1,29,24,38,1,139431,224,9438,0.9970803625419123,0.997069430498116,1121361,172,71833,6745,11552
30,24,5,11,1,27,8,14,4,1,1,1,1,24,5,11,1,29,24,38,1,138946,219,9923,0.997035858732707,0.9970250629609247,1117647,164,75547,6666,11408
31,12,11,4,18,15,14,7,21,1,1,1,1,12,11,4,18,36,15,27,5,142865,1317,6004,0.9902219181131908,0.990215212394498,1147488,8604,45706,3963,7086
32,12,11,4,15,15,14,7,18,1,1,1,1,12,11,4,15,36,14,26,5,142992,1318,5877,0.9902412154803722,0.9902344473036728,1148483,8608,44711,4002,7152
33,11,12,4,14,14,15,7,17,1,1,1,1,11,12,4,14,36,14,5,4,146951,1457,1918,0.9901209576624599,0.9901077033164236,1181578,7651,11616,8959,14006
34,12,1,3,15,15,4,6,18,1,1,1,1,12,1,3,15,36,9,25,5,143169,1252,5700,0.9907206396015886,0.9907142745629309,1150064,8290,43130,3980,6726
35,11,11,3,14,14,14,6,17,1,1,1,1,11,11,3,14,37,15,2,5,147939,1827,930,0.9879193092718532,0.9879002274045481,1190241,10810,2953,13172,20164
36,17,26,9,1/2,20,29,12,3,1,1,1,2,17,26,9,1,28,24,39,9,139418,783,9451,0.9931870749045624,0.9931815634586595,1120360,5002,72834,3432,5824
37,17,1,10,1/2,20,4,13,3,1,1,1,2,17,1,10,1,27,24,39,8,139535,720,9334,0.9936459639466063,0.9936399585146524,1121384,4009,71810,3731,6346
38,18,25,10,1/2,21,28,13,3,1,1,1,2,18,25,10,1,29,24,40,8,139072,708,9797,0.9936426930266248,0.9936367121993401,1117753,3941,75441,3690,6320
39,18,27,9,1/2,21,30,12,3,1,1,1,2,18,27,9,1,28,24,39,8,139334,728,9535,0.993552823789591,0.9935467483289632,1119812,3996,73382,3766,6420
40,17,25,9,1/2,20,28,12,3,1,1,1,2,17,25,9,1,27,24,39,7,139469,717,9400,0.9936544445889938,0.993648347362697,1120671,3903,72523,3829,6443
