observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,40942,7357,532,0.8500804567869195,0.8500609859374315,331158,54800,2396,3321,5936
2,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,36416,2889,5058,0.9254764745079721,0.9254639280121346,294148,21333,39406,2181,3825
3,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,34819,2534,6655,0.9301084374103457,0.9301002698875651,281706,18722,51848,1248,2490
4,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,36490,2664,4984,0.9308578483893023,0.9308125760401391,300382,16691,33172,7590,13802
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,41042,7788,432,0.8430479051362615,0.8430292707198294,331733,59000,1821,3774,5681
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,24313,1050,17161,0.9465755013973017,0.9465684097570402,197657,7592,135897,1007,2162
7,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,41080,8407,394,0.8328140071693365,0.8328086966394643,330914,65703,2640,842,1619
8,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,39147,4118,2327,0.905568877318515,0.9055552254189919,315598,31190,17956,2591,4162
9,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,40832,6545,642,0.8640058367792424,0.8639787560290111,330913,47755,2641,4428,8256
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,40665,6413,809,0.865840592497709,0.8658348949125404,327730,49981,5824,1090,1737
11,26,1/4,30,1/2,29,1,33,3,1,4,1,2,26,1,30,1,42,41,42,42,14322,349,27152,0.941799401067662,0.9417932377040859,116906,1894,216648,774,1879
12,28,1/4,30,1/4,31,1,33,1,1,4,1,4,28,1,30,1,42,42,42,41,14004,325,27470,0.9416416194299316,0.9416353511022073,114715,1746,218839,775,1911
13,28,1/5,30,1/4,31,0,33,1,1,5,1,4,28,1,30,1,39,42,42,40,14296,326,27178,0.9430676348898084,0.9430610352689913,116976,1740,216578,844,2012
14,28,1/5,28,1/5,31,0,31,0,1,5,1,5,28,1,28,1,41,42,42,39,14201,326,27273,0.9425897089726895,0.9425832471173169,115983,1730,217571,808,1970
15,29,1/5,29,1/5,32,0,32,0,1,5,1,5,29,1,29,1,42,39,41,42,13899,314,27575,0.9417802417906767,0.9417736880916745,113735,1585,219819,815,1998
16,20,5,20,7,23,8,23,10,1,1,1,1,20,5,20,7,32,32,25,31,21481,679,19993,0.9527514073275061,0.952741442293688,175612,4254,157942,1477,3038
