observation,weight_1,weight_2,weight_3,weight_4,weight_code_1,weight_code_2,weight_code_3,weight_code_4,good_wt_1,good_wt_2,good_wt_3,good_wt_4,bad_wt_1,bad_wt_2,bad_wt_3,bad_wt_4,threshold_1,threshold_2,threshold_3,threshold_4,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,1/3,29,29,24,2,32,32,27,3,1,1,1,1,29,29,24,13,5,29,19,20134,2675,516,0.8843959936431018,0.8843129222207092,164082,19252,2343,3977,5762
2,9,29,21,17,12,32,24,20,1,1,1,1,9,29,21,17,7,7,3,37,18718,702,1932,0.9626322989416085,0.9624732349007792,155078,3573,11347,6579,11033
3,7,14,11,6,10,17,14,9,1,1,1,1,7,14,11,6,26,6,13,16,16918,573,3732,0.9637590590958962,0.9637113528590519,138377,3917,28048,1717,3309
4,12,23,3,14,15,26,6,17,1,1,1,1,12,23,3,14,25,2,26,8,16524,551,4126,0.963695214766862,0.9636514011513377,134449,3539,31976,1608,3039
5,17,21,1/5,29,20,24,0,32,1,1,5,1,17,21,1,29,35,9,8,8,20294,2977,356,0.8740413927122159,0.8739376471454791,165336,22086,1089,5477,7196
6,15,3,29,23,18,6,32,26,1,1,1,1,15,3,29,23,40,38,26,39,14088,287,6562,0.9715527050791353,0.9715218524508951,114463,1809,51962,993,2140
7,6,15,1,24,9,18,4,27,1,1,1,1,6,15,1,24,4,42,33,9,18732,965,1918,0.9500884050870205,0.9499810119899357,153265,5940,13160,5009,7449
8,1/5,24,21,21,0,27,24,24,5,1,1,1,1,24,21,21,33,4,16,5,20067,2267,583,0.8998525581695688,0.8997489856082239,163774,15504,2651,4726,7184
9,1,13,1/4,27,4,16,1,30,1,1,4,1,1,13,1,27,11,28,14,22,20166,3505,484,0.8541086241845817,0.8540597934126892,163774,26747,2651,2228,3387
10,1/2,3,1/4,8,3,6,1,11,2,1,4,1,1,3,1,8,17,12,35,15,19868,2453,782,0.8914381911360497,0.8913934980764494,160998,18451,5427,2266,3100
11,26,1/4,30,1/2,29,1,33,3,1,4,1,2,26,1,30,1,42,41,42,42,11902,147,8748,0.9738957959319271,0.9738718491022509,97007,697,69418,714,1661
12,28,1/4,30,1/4,31,1,33,1,1,4,1,4,28,1,30,1,42,42,42,41,11832,136,8818,0.9744976790614778,0.9744735015579455,96431,653,69994,715,1677
