name,suk_objective,suk_args,fuk_objective,fuk_args,iterations,batch_size,weight,annotation,suk_bad_weights,suk_threshold,suk_good,suk_bad,suk_missed,suk_n_patterns,suk_trie_nodes,suk_score,fuk_bad_weights,fuk_threshold,fuk_good,fuk_bad,fuk_missed,fuk_n_patterns,fuk_trie_nodes,fuk_score,cv_f17,cv_trie_nodes
weighted_f17_trie,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_trie,--trie-weight 0.05 --trie-normalizer 3526648,10,25,9,claude_new_prompt,"[9, 2, 30, 7]",1,38161,0,267,9659,12220,0.9992,"[30, 22, 20, 1]",1,11811934,247,3283,21165,32764,0.9995,0.9543,31692.2
basic_f17_trie,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_trie,--trie-weight 0.05 --trie-normalizer 3526648,10,25,1,claude_new_prompt,"[11, 29, 30, 1]",1,40077,2,127,2984,4812,0.9996,"[13, 30, 3, 1]",1,13153841,23,1851,13144,23666,0.9997,0.964,22588.8
weighted_f17_target,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_target,--bad-target 250 --bad-tolerance 50,10,25,9,claude_new_prompt,"[9, 2, 30, 7]",1,38161,0,267,9659,12220,0.9992,"[30, 23, 18, 1]",1,11811933,247,3284,21135,32678,1.0,0.9543,31613.4
basic_f17_target,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_target,--bad-target 250 --bad-tolerance 50,10,25,1,claude_new_prompt,"[11, 29, 30, 1]",1,40077,2,127,2984,4812,0.9996,"[23, 30, 2, 20]",1,13155410,216,282,15033,25827,1.0,0.9633,24702.5
weight_2_f17_trie,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_trie,--trie-weight 0.05 --trie-normalizer 3526648,10,25,2,claude_new_prompt,"[19, 6, 26, 1]",1,38164,2,264,8651,11582,0.9992,"[8, 1, 10, 4]",1,12155686,93,2537,21439,33615,0.9995,0.9588,32553.4
weight_2_f17_target,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_target,--bad-target 250 --bad-tolerance 50,10,25,2,claude_new_prompt,"[19, 6, 26, 1]",1,38164,2,264,8651,11582,0.9992,"[18, 22, 17, 3]",1,12135899,226,22324,37730,55579,0.9999,0.9583,54171.0
weight_1_f17cv,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_cv,--n-fold 10,10,25,1,claude_new_prompt,"[11, 29, 30, 1]",1,40077,2,127,2984,4812,0.9996,"[13, 24, 29, 12]",1,,,,0,23215,0.9641,0.9641,23215.3
weight_2_f17cv,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_cv,--n-fold 10,10,25,2,claude_new_prompt,"[19, 6, 26, 1]",1,38164,2,264,8651,11582,0.9992,"[30, 11, 7, 3]",5,,,,0,33904,0.9678,0.9678,33904.9
weight_1_f14_trie,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_trie,--trie-weight 0.05 --trie-normalizer 3526648 --beta 0.25,10,25,2,claude_new_prompt,"[19, 6, 26, 1]",1,38164,2,264,8651,11582,0.9992,"[6, 1, 15, 1]",1,12152505,4,5718,20230,32162,0.9995,0.9572,31140.8
weight_1_full_cv,f17_cv,--n-fold 5,f17_cv,--n-fold 5,10,25,1,claude_new_prompt,"[25, 21, 30, 20]",5,,,,0,1204,0.9828,"[27, 1, 13, 3]",1,,,,0,13490,0.9672,0.9672,14441.9
weight_1_f14_target_w_trie,f17_trie,--trie-weight 0.00085 --trie-normalizer 15714,f17_target_w_trie,--bad-target 250 --bad-tolerance 50 --trie-weight 0.05 --trie-normalizer 3526648 --beta 0.25,10,25,1,claude_new_prompt,"[11, 29, 30, 1]",1,40077,2,127,2984,4812,0.9996,"[15, 4, 2, 30]",1,13155562,273,130,13871,24460,0.9996,0.9637,23340.3
